Title,Price,Sold,Reviews,Condition,Brand,Power Source,Material,Voltage,Model,Color,Features,Item Width,Item Length,MPN,Smart Home Protocol,Country/Region of Manufacture,Manufacturer Warranty,UPC,Timer Control,Refrigerant,Custom Bundle,Number of Heat Settings,Year Manufactured,Smart Home Compatibility,Heating Element Format,Air Direction,BTU Heating Rating,Heating Element Material,Tank Capacity,Control Style,Energy Star,Energy Efficiency Ratio (EER),Annual Fuel Utilization Efficiency (AFUE),Area Covered,Cable Length,Width,EC Range,Current Rating,Item Depth,Type,Tonnage,Heating System,Mounting Location,Operating Sound Rating,Power,EAN,Location,Heating Technology,Room,Modification Description,Battery Included,Bundle Description,Battery Size,Modified Item,Weight,Depth,Number of Batteries,Battery Capacity,Battery Life,Length,Motor Type,Room Coverage Area,Height,Heating Wattage,Colour,Energy Rating,Time Control,Contents of the package,Material Type,Switch Car heater,Air Outlet Car heater,Item Type,Size:,Core Material:,Heating element:,Manufacturer Part Number,ISBN,Size,Heating Method,Item Dimensions LxWxH,SHIPPING,RETURN,ITEM LOCATION,International buyers,ProductGroup,PartNumber,Label,Studio,Manufacturer,Binding,Warranty,Publisher,ProductTypeName,Model Number,Item Height,Package,Piece Count,Item Weight,Room Size,Indoor/Outdoor,Product Depth (in),Wattage (watts),Heater Type,Product Width (in),Area Heated (Sq Ft),Heater Controls,Color Family,Amperage (amps),Certifications and Listings,Portable Heater Safety Features,Product Height (in),Cord Length (in),Voltage (volts),Power/Fuel Type,Product Weight (lb),Portable Heater Features,Country of Origin,Prop65_fl,Prop65Warning,SKU,Application/Usage,Area Coverage,Form Factor,Input Voltage,Maximum Heat Power,Product Model,Product Type,Timer,Weight (Approximate),Heat rating (BTU/hour),Pack Size,Heat Output,Handling Time,Shipping,Satisfaction,Customer Service,International Shipping,Returns,Note,Department,Style,Ventilation Type,Chamber Depth,Finish Type,Model No.,Assembled Product Dimensions (L x W x H),MaterialType,Voice Control Hub Required,Remote Access,Smart Home,Requires Hub?,Works With,Power Options,Item Weight ‏,Hight,New Title,Fuel Type,Heating Element,Minimum Heat Power,Item model number,Warranty Description,Batteries Required,Batteries,Is Assembly Required?,Is Discontinued By Manufacturer,Product Dimensions,item_width,item_length,Mount Type,package_length,Package Dimensions,Baseboard Heating Type,Hydronic,Product Length (in),Thermostat,Heating Product Type,Heating Technology Type,Vented,Number of Cool Speeds,Product,Size Type,Automatic shutoff,Installation,Timer Included,Anti-freeze setting,ACLI Safety Plug,Remote Control,Accessories Included,Oscillation,Tax,VAT Rate,For,COUNTRY  OF ORIGIN,Amazon Title,Generic Keywords,Category 1,Category 2,Weight (lbs),Length (in),Width (in),Height (in),Feature Bullet 1,Feature Bullet 2,Safety Tip-Over Switch,Indoor Safe,Ignition,Heat Settings,BTU Per Hour,Recommended Location,Assembled Depth (in),Color/Finish,Patio Heater Type,Assembly Required,Assembled Height (in),Total BTU,Cord Length (ft),Heating Area (sq ft),Outdoor Living Product Type,Assembled Width (in),Housing Material,Country Of Origin,TAX,Handling Time:,Questions,Product Style 3,Product Style 4,Product Group,Product Style 1,Product Style 2,Assembly,Dimensions,Air Flow,Product Features,Overall Width,Special Features,Wattage,Heating Element Type,Cord Length,Overall Height,Plug Type,Power Type,Assembled Product Weight,NumberOfItems,Bundle Listing,Item Location,Category,IsAdultProduct,Shipping Weight,Mount Location,Product Weight (lb.),Product Weight lb,Product Depth in,Package Condition,Area Heated Sq Ft,Area Heated (Sq. Ft.),Heat Output BTU/hour,Functionality Check II,Product Lot Quantity,Returnable,Brand:,Control Style:,Power:,Energy Efficiency Ratio (EER):,Material:,Number of Heat Settings:,Cable Length:,Power Source:,Mounting Location:,Tank Capacity:,Operating Sound Rating:,Heating Element Format:,Features:,Color:,MPN:,BTU Heating Rating:,Item Depth:,Area Covered:,Heating Element Material:,Item Length:,EC Range:,Condition:,Item Width:,Annual Fuel Utilization Efficiency (AFUE):,Country/Region of Manufacture:,Model:,Energy Star:,Voltage:,Style:,Custom Bundle:,Heating System:,Modified Item:,Mounting,Product name,Power line,Product Meas,Heating power,Use,Net Weight/Gross Weight,Box Size,Package Include,manufacturer_part_number,Maximum Coverage Area,Power cord,Product size,Net weight/Gross weight,Box size,Package Included,BoxSize,Rated Voltage,Main material:
Mr. Heater F215100 MH4B Little Buddy 3800-BTU Indoor Safe Propane Heater Medium,110.49, ,"['Even though it cost almost 1 1/2 One Pound Coleman tanks from 9pm to 5am,  it’s great. Keeps my whole RV toasty warm. I would recommend by a large propane tank to refill the 1 pound tanks. Much cheaper. But I’ve not been cold once. The safety feature of turning off it it tilts is great. Only problem I have found is the bottom piece you place on propane tank does not secure properly and falls off when lifted off the ground to move the heater. ', 'This little buddy heater is a fine unit for use in an ice fishing shelter or flip over sled / tent. It is the right size and has a small footprint.The angle of the head heating element is perfect for warming wet hands and can be easily aimed to direct the heater output.The only down side is that it can be difficult to light in even the slightest breeze.', ""This is just the right amount of heat and size  for my needs compared to the regular Mr. Heater but does not hold up to heavy use. Have had a regular size that I use in an icefishing house that has years of use on it. The little buddies I've had are lucky to make an ice season before getting had to light and the just quitting. Love the little buddies while they work but the regular Mr buddy is a much better long term value."", 'I bought this to heat my ice fishing hut and only used it a handful of times. Looks like it’s made pretty durable, the igniter works good, like the carry handle, the metal shield cools down pretty quick if you want to move spots. The negatives are the sensor for the automatic shut off is way too sensitive, if you dont have it pretty close to PERFECTLY flat it goes out which is a pain. Also there is no heat control so once it’s first lit it’s just barely staying lit, can’t have any wind blow on it or it goes out, plus once the honeycomb section is lit well finally and red it’s burning propane at such a low rate heat does not blow out of it, it only rises from it. I guess the plus to that is low propane consumption but it would be nice to be able to crank it up if you want to blow some heat at you. This is a new school version of a metal coffee can with a roll of toilet paper inside soaked in Isopropyl rubbing alcohol. ', ""These things do a good job of heating my small fish house, but it does not take long and they get hard to light and won't work Have gone through three in three ice fishing seasons.. The regular size Mr. Heater is more reliable and I should probably just stick with those but the smaller size and a bit less btu's just works better in my tiny and very well insulated fish house.Have tried the cleaning method described in the manual but it is very hard to take apart and nothing seems to help."", 'Bought 3 fir use to heat bedrooms in the house during power outages.  Just arrived and a week later a planned one day power outage.  With new born baby, needed to ensure both mom and baby would stay warm.  Used the heater and it was fine.  ', ""I have the larger Mr. Heater for our sailboat works great! So I bought this for our RTT roof top tent ..works good don't get as hot which is good for a tent ,But! the base that holds the 1lb tank should be twice the size feels like it could fall over .I plan on fabricating a larger base :)                                                                        -=CC=-"", ""Not cheap. It is tippy with the 1 lb cylinder. I asked Mr Heater for a parts list to hard pipe it directly to a 5 lb or 20 lb cylinder and I got parts list for using a hose. I don't want to use a hose. I like that it is quiet. I like that you don't need matches. I wish it had more than 1 heat output setting. It seems to be the best match available of heat output needed for my collapsible fish house."", ""I used this in my motorhome to keep the chill off at night and not have to use the furnace, which runs the batteries down significantly while boon-docking. It will run for 6 hours on one propane bottle, so it will not last all night. However, if you start it at midnight, it will run until 6 AM, at which time you can turn on your furnace for a short time if you're an early riser. Alternatively, if you don't want to run the furnace in order to save batteries, you could light the burners on your stove. Be sure to crack a window so as not to deplete all the oxygen. This unit works well."", ""Light weight. Compact.It doesn't take up allot of space. Easy to use. Does a good job heating my Ice Fishing Hub perfectly. ""]","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Mr. Heater,"Electric, Gas, Propane","Ceramic, Steel",,MH4B,Red,"Auto Shut-off, Timer",7.5in.,9in.,"F215100, MH4B, F215161",,,,0089301151000,15 Minutes,,,1,2019,,Coil,,3000-3999 BTU,Steel,1 gal or Less (5 L),"Rotary Knob, Switch, Push Button, Analog/Mechanical",,,100%,100 sq ft or Less,Cordless,,,,7.5in.,Portable Heater,,Radiant,"Baseboard, Floor, Desk/Tabletop, Cabinet",Standard,,0089301151000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0089301151000,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unisex-Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 VOLT 300 WATT Car ELECTRIC HEATER w/ FAN UTV Cab Golf Cart RV Truck Auto,114.74,Last item available,"["" As my house was damaged in a recent mudslide, I'm living in an insulated shed, and my power system consists of 6 golf cart batteries, an inverter and an inverter generator.  I ordered this item so that I could heat the shed without running the generator or inverter. As an electronic technician, I also disassembled it to see what quality it was, and how easy it would be to add a thermostat to it.  It's nicely made, has a good quality, quiet fan, and uses a relay to control the heater element, which means less wear and tear on it's control switch, and easy to modify for a thermostat.  It works well, and is quite adequate to get the 8x10 shed comfy when it's low 40s outside. I haven't modified it yet. Draws about 25amps. Heats up in a minute or two, and puts out a pleasant warm breeze. It's running as I type. Unlike a lot of those cheap window defroster units, it's a solid, well built product that will last, puts out a decent level of heat and doesn't sound like it's about to self-destruct any second like those cheap units.  Computer style fan should last for years..  Quite pleased with this product. "", ""I purchase one of these becausenthey are advertised well. It seemed to be my best bet when the heat in my work truck went bad and I didn't have $1,000 at that time to fix it. We only had a few more weeks of winter left so I figured this would get me through. WRONG! First of all these couldn't warm a person up nor warm the passenger compartment of any vehicle even if left running for a week(seven(7) straight days). Not to mention after only three(3) times of turning it on in an attempt to lessen the cold ride to work the thing just completely pucked out on me. I decided to take it apart to see why the most expensive aftermarket 12v vehicle heater crapped out on me. Well simply put everythong about it was just cheap. The thin guage wires used in the internal workings of this heater I think are a hazard. They would never handle the current needed to warm the heating element. I'm very thankful that my mistake of purchasing this unit didn't end way worse. Because the sheer lack of quality is dangerous, it easily could have caught my truck on fire. Terrible quality! BEWARE - WARNING! SAVE YOUR MONEY - This heater is just like throwing cash in the trash can!"", 'I use these units to heat my tractor cab. You definitely want to be sure you wire heavy enough to handle the load (#12). Then if you lose heat capability and you feel you have the ability, open it up and check the wiring where the power comes in. They have a tendency to unwire and that is an Achilles Heel. I had to beef up my last one and then it worked fine.', 'I bought this because the heater in my truck doesn\'t work. I used this heater exactly 3 times for a total less than 3 hours, and it burned up. The nasty stench of burning wires  and choking smoke filled the cab I had to pull over on a cold winter morning on the way to work and get out of the truck to get away from the nautiuos smell.. DON""T BUY THIS PIECE OF CRAP!  And I am being nice  calling it crap! ', ""At first I was very happy with the heater.  My heater in my car wasn't working so I bought this as a temporary fix until I could get it repaired.  It was easy to hook up and warmed my car's interior quite well.  Then after a few days it stopped making any heat.  It now just blows cold air."", 'received heater on time,looked exactly as picture in ad,works ok so far,wish fan was stronger,but i am pleased overall', ""Doesn't put out a lot of heat but does require a lot of power in it's attempt. Buries 1700 CCA of battery in a couple of hours. Need's continuous amp input to maintain a lesser rate of discharge. And if you're going to have to run your engine anyway might as well use your regular heat source of hot water.Unit is well constructed though, and of a clean, compact design."", 'fan is separate from heater, if you want heat  the fan does not work', ""I purchased this as auxillary heat for my snowblower tractor because when cold out, my tractor won't throw heat.  I like the easy installation, small size, nice looking, but it won't throw very much heat.  The fan will not kick out the heat that is being producted."", 'Should you buy this product? It really depends upon your application need. I put this in my truck due to no floor board heat. It does help but the heat is so so at best. The blow power is very minimal but it does help for my application']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",RoadPro,"Fan, Battery, Electric",Ceramic,12 V,RPSL-681,Black,,,,RPSL681,Bluetooth,,,0045464230990,,,,3,2019,,Coil,4-Way,Less Than 2000 BTU,Brass,1 gal or Less (5 L),"Dial, Rotary Knob, Switch, Push Button, Analog/Mechanical",,,Less Than 80%,100 sq ft or Less,10ft.,,,,,Portable Heater,,Forced Air/Fan,"Car, Golf Cart, Truck",Standard,301-400 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleo Industry Desk Panel Heater Kotatsu with 3-hour timer NH2471 New F/S,113.0, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",KREO,Electric,,,NH2471,Black,3h timer,,,,,,,Does not Apply,,,,,,,,,,,,,,,,,,,,,,Portable Heater,,Panel,Desk/Tabletop,,51-100 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Electric Baseboard Heater 2,000-Watt Quiet Operation White 240/208-Volt 96 in",113.04, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Cadet,Electric,Steel,208/240 V,,White,,,,09958,,,Lifetime,0027418099587,,,,1,,Universal,,,,,,,,,,,,,,,,Baseboard Heater,,,Wall,,,0027418099587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DONYER POWER 14"" Mini Electric Fireplace Tabletop Portable Heater, 1500W, Black ",113.91, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Does not apply,,"Glass, Metal",,,Black,,,,,,,,726084728394,,,,,,,,,,,,,,,,,,,,,,Does not apply,,,,,,0726084728394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Does not apply,14'',,14.29 x 7.87 x 9.76 inches,,,,,,,,,,,,,,,,,,4.7 Kilograms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Art Deco,Vent Free,7.87 Inches,Painted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasko Ceramic Space Heater 1500-Watt Cyclonic Electric with Remote Control,114.04,30-day returns,"[""this little heater will heat your small room to a toasty comfort level in just minutes, with the remote control everything is a snap and no need to get out of your seat, it is that easy to use, it's compact so it fits anywhere in a room giving you space, this product was a really good price,"", ""I love this heater. My wife dragged me to Lowe's to by a heater. I told her that we should buy a ceramic heater instead of a infrared heater. But like always she didn't want to listen. We ended up buying a heater for 150. This heater looks like old cast iron heater and it takes like an hour to make a room comfy. BBUUUUTTTT this Lasko heater is the BOMB and very worth it."", ""Works like a champ.  This heats my 250 square foot garage that is like an ice cube, otherwise.  I really like the thermostat feature.  I've had two of these in the past, and they have always worked well."", ""We have a small house in s.e. mich.. about 700 sq. ft. on the main level.  several years ago our furnace quit and we've been using ceramic heaters ever since.  I bought this lasco heater this fall to see if it could do better than the previous heater and it has been keeping the wholehouseat about 66 to 68 degrees so far.  Right now we are having the coldest below zero weather in years and it is still keeping things at around 60 with no other heater. needless to say, we have turned on an additional ceramic heater and the temp in the living room isaround 65. I repeat we have no other furnace or heater in the housethe basement stays around 60 all the time but as soon as the outdoors temps rise into the 20's and 30's it will be about 68 in here and we will only need the large Lasco heater.I am very happy with this heater."", 'Works well and looks like the picture, but not quite the remote I was looking for.  I understand the remote that actually went with my upright fan, the model is now out of date or for sale.', 'I plugged the space heaters in immediately and it took the chill right off the house love them. I have a heat pump and when the temperature gets below 32 the system needs help. These are perfect.', 'Quiet; Very powerful; Many fan &amp; heat speed/temperature options. Delivered much faster than even my dog\'s favorite (E-bay) dog food! The back of this unit is not even the slightest bit warm, even when temperature and fan speed are at ""max""! Greatly helps supplement our home\'s central heat, even during extremely cold weather.', ""This heater warms my apartment way better than the heating sytem for the apartment. It's easy to move around and it does not get hot so you can move it without the danger of getting burned bu holding the sides. Good choice for anyone who has to use gas heat or heat a lot. Could save you a lot of money."", 'Actually, my 5/6 year old unit is STILL GOOD. but the remote died from battery corrosion.So, I now have TWO GOOD EXCELLENT HEATERS- with One REMOTE. * works on both👍🏻', ""This heater provides a great deal of heat for a large room/ recommend it for purchase, if a person is interested a quality heater.....it's well worth the investment/ Thank you.""]","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Lasko,Electric,Plastic,110 V,760000,Black,"Portable, Thermostat, Timer, Remote Control, Cool-Touch Exterior",16.8in.,,760000,Ceramic,,,0046013768520,,,,2,,,,,,,,"Remote Control,Touch",,,,,,,,,,Ceramic,,,Portable,,750-1500W,0046013768520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Metro Kotatsu Heater U Shape Quartz tube Heater 600W MSU-601E (K) from Japan,111.11,Free shipping and returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",metoro,Electric,NA,100 V,MSU-601E (K),Black,NA,NA,NA,MSU601EK,,Japan,,4948309101447,,,,NA,,,NA,,NA,NA,NA,NA,,NA,NA,NA,,,,,NA,Kotatsu,,NA,NA,NA,501-600 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FOSTORIA 671-3784 Elc Infrd Htr Tblr Elmnt,5/8""x39-11/16""",114.17, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Fostoria,Electric,Aluminum,120 V,671-3784,Gold,,,,FFH-512A,,,,0686334883894,,,,1,,,,,,,,,,,,,,,,,,Infrared Heater Elements,,,,,,0686334883894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honeywell EnergySmart Cool Touch 1500-Watt Electric Heater ,HEATER,SPACE,WH",111.30, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Honeywell,Electric,Ceramic,120 V,,White,,8,11,HZ7304U,,,,92926073046,,,,,,,,,,,,"Switch, Touch",,,,,,,,,,Unit Heater,,,,,,0092926073046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HWLHZ7304U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasko 6462 Remote Control Full-Circle Warmth Ceramic Heater 25 Hx11 Wx11 L in.,113.09,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Lasko,Electric,"Ceramic, Plastic, Metal",,6462,"Silver, Gray","Handle, Timer, Indoor",9.50,8.30,6462,,,,046013763150,,,,2,,,,,,,,"Remote Control, Touch",,,,,,,,,,Tower Heater,,Ceramic Heater,,3 quiet settings,1500 W,0046013775863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6462,,,,,,,,,,,,,LASKO,,,,,,25.1,,,9.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RARE ANTIQUE 197-KT FAN-GLO HEETAIRE AUTOMATIC,110.0,30-day returns, ,,FAN - GLO HEETAIRE,"Electric, Fan",Steel,120 V,AUTOMATIC HEETAIRE,Gray,Auto Shut-Off,,,"197-KT, RARE MODEL 197-KT",,Unknown,,,,,,Variable,,,Coil,,,,,Rotary Knob,Compliant,,,,,,,,6 in,Portable Heater,,Radiant,Floor,None,1001-1500 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MR. HEATER F276172 Pack of 6,114.94,30-day returns,"[""Easy to install by following the simple instructions on the package.  Makes filling the 1 lb canister simple and quick.  The instructions do warn the user to verify that there are no propane leaks (using soapy water) after a fill.  This is a MUST - I did have two leaky canister valves - and others were OK.  You may be able to stop the valve leak by a quick tap on the canister stem (helps to seal the canister's valve).  This is not a fault of the refill adapter - but simply a canister issue.     "", 'With the one pound propane tanks in the $3-4 range this is a real money saver.   I put the small tanks in the freezer overnight.  Made sure the twenty pound tank was 70-75 degrees.  Followed the directions exactly.  According to my scale just about 1lb of propane was transferred to the small bottle.  Works great.', ""No more buying replacement propane canisters for my camping stove! Yea!!! Those canisters can get expensive at $5-$8 a piece. With this adapter I'm able to refill my used canisters from my 20 gal propane tank, no fuss, no mess."", ""I HAVEN'T USED IT YET. however, IT IS HEAVY BRASS AND I am sure it will work well. The very idea of it gets 5 stars for me."", 'Excellent value. Easy to use. Completely satisfied.', 'Lots of information on how to use it. Works great!', ""Worked very well, he put the empty tanks in the freezer, then filled them upside down.  This made more room in the tank for filling. Will save $'s for next summer, while boating with his small grill."", 'Should have invested in one of these years ago when I was doing more camping.', 'Do not fill if not totally emptyDoes not fill to full', 'It did not work properly. It damages the 1lb. tank that is refilled!']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Mr. Heater,"Electric, Gas, Propane",Brass,,F276172,Gold,"unisex, Low Pressure, Refill one pound bottles, soft nose POL, Canada restricted, Al..., Female Throwaway Cylinder Thread x Soft Nose P.O.L, Outdoor, refill one pound bottles, Al, soft nose pol",,,F276172,Thread,,,0089301761728,,,,1,Unknown,,,,,Brass,,,,,1,,,,,,,Adapter,Full,,,Standard,,0089301761728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
