Title,Price,Sold,Reviews,Condition,Mounting & Moving,Country/Region of Manufacture,Heating System,UPC,EAN,Power Source,Color,Number of Heat Settings,MPN,Material,Brand,Type,Control Style,Model,Features,Mounting Location,Item Width,Power,Colour,Room,Item Length,Item Depth,Heating Element Format,Voltage,Area Covered,Year Manufactured,BTU Heating Rating,Timer Control,Air Direction,Smart Home Protocol,Operating Sound Rating,Cool Fan Setting,Location,Recommended Environment,Type 1,Custom Bundle,Heating Element Material,Power (W),Design,Voltage Supply,Bundle Listing,Heating Technology,Energy Efficiency Rating,Unit Type,Energy Star,Tank Capacity,Energy Efficiency Ratio (EER),EC Range,Application,Annual Fuel Utilization Efficiency (AFUE),Size,Wattage,ISBN,Non-Domestic Product,Modified Item,Heater Type,Cable Length,Width,Heater Style,Height,Style,Smart Home Compatibility,Manufacturer Warranty,Country of Origin,Product Name,Temperature,Cover material,Lead wire,Perfermance 1,Perfermance 2,Bundle Description,Number of Cool Speeds,Tonnage,style,Manufacturer Part Number,Manufacturer,Item Height,Item Weight,Prop65_fl,Prop65Warning,ProductType,Country of Manufacture,Product Type,Instructions Included,Shape,Refrigerant,Compatible Model,Current Rating,Country Of Origin,Package Contents,Voltage:,Power ：,Product color:,Power supply:,Packing:,Number of Items,Use,Certification,Electric Heater Type,Heating Element,Installation,Origin,Contents of the package,Application Area,Rotating Speed,Timing Function,(Remote control) Battery,Volatage,Wire Length,Applications 2,Applications 3,Function 1,Function 2,Heating Method,Item Dimensions LxWxH,Region Code,Item model number,Package Dimensions,Heat Output,Weight,Heater,Finish,Manufacturer Color,Collection,Category,California Prop. 65 Warning,Color:,Power:,Application area:,Compressor Type,Personal Heater,Heating Wattage,Recommended Location,Plug Type,Applicable Area,Programmable Timer,Air Volume,Idle Speed of Fan,Frequency,Part Number,Batteries Required?,Item Package Quantity,Product Dimensions,Warranty Description,Batteries Included?,Number Of Pieces,Is Discontinued By Manufacturer,Included Components,Energy Rating,Stock #,KeroHeat Wick,Redstone RS-110 Wick,Compatible Product,Feature,HeatMate CTN110 Wick,Measurement (Approximate),Title,Annual Fuel Utilization Efficiency,Energy Efficiency Ratio,Key Word 2,Key Word 3,Key Word 4,Max. Power (kW),Dimension(L*W*H),Insulation,Heating BTU,Name,Power Cord Length,Product Power,Fit For,Handling Time,Shipping,Satisfaction,Customer Service,International Shipping,Returns,Note,Model Number,Number Of Speed Settings,Area Heated,Voltage (v),Function,Sku,Temperature Range,Timing Time,Wind Speed,Package,Quality,Positive,Ships From,Made in,payment,Overall Length (In.),Overall Length,Terminals,Sheath Material,NumberOfItems,Slotted Hole Width,Mounting Dimension,Watts,Screw Size,Max. Sheath Temp.,Mounting Type,Watt Density,Phase,Slotted Hole Length,Quantity,Room Coverage Area,Item name,Control,Christmas gift,Ceramic Heating Element,Plugs,Heater electrics,Voltage (V),Mini Warmer,Warm air mcahine,Fan Heater,Suitable for,Winter warm items,Brand Name,Heater For Home,Wall heater,Home Heater,Number of Speed Settings,Winter Hand Warmer,Air Blower,SHIPPING,RETURN,ITEM LOCATION,International buyers,Tube Length
"Vintage Lakewood Space Heater Copper Face, Model 400, 1200/1500W ",34.99,Last item available, ,,,,Electric,,,Electric,Pink,,,Copper,Lakewood,Portable Heater,"Push Button, Rotary Knob",400,,,,,,,,,,,,,,,,,,,,,,,Copper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr. Heater Propane Gas Quick Connect Coupling Adapter Kit,32.99,21 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,United States of America,,089301763302,,,,,F276330,,Enerco Group Inc,,,F276330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States of America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TEMPCO CSH00339 Strip Heater,240V,5-1/4 In. L,1200 Deg F",31.06, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,0707022143929,0707022143929,,,1,CSH00339,Steel,Tempco,Strip Heaters,,CSH00339,,,,,,,,,Strip,240 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150W Portable Heater Heating Cooling Fan Defroster Demister for Car Truck 12V,,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,Does not apply,Does not apply,,,,Does Not Apply,,Unbranded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1pc of 12V Fast Heater Cooling Fan Demister Defroster+Bracket,12v,150w,black and gray,Cigar lighter,Heater*1+Bracket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lasko Model 100 MyHeat Personal Space Heater, Black - Compact Size, ",30.7,30-day returns,"['I bought this unit to build a yogurt maker.  My unit consumed 190 watts on a kill-a-watt meter.  This was much more heat than I needed.  I opened up the unit to see what I could change.  The internal connections are soldered.  I was quite surprised.  The heating element is center tap so it functions as two parallel heaters.  I cut a wire so I only use half the heater and it works very well.  It is a little over 100 watts now.   This could be used to make a dehydrator also.  I bought a $10 digital temperature to control this.  Yes I am an engineer but this project was easily within the capabilities of handy people.  Before messing with it the heater was surprisingly effective as a desk top heater or something like that to keep your hands warm.  Bear in mind the heat output is like that of two 100 watt incandescent light bulbs.  It has no tilt sensor so works in any attitude but does have an effective thermal switch that shuts it off.  ', 'Very simple little heater a bit taller then a coffie mug, the vent big as a baseball.  No adjustments, just an on/off switch puts out heat of around 150°F at 3"" away, 115° at 6"", 90° at 1 foot, 80° at 2 feet, which is great in  a small area, or spacific body parts (feet, face, hands or core) in a large area without worry of tripping breakers.  Just used my little cen-tech temperature gunto take the measurements.', 'I use this to heat my dog house.  I live in Iowa and so winter nights can be quite cold 5-6 months per year.  This is the 2nd one.  The first lasted 4 years.  Its very reliable.  I mount it on the outside of the dog house and direct the heat through a vent to the inside.  It works very well in the tough conditions I use it.   It puts out just the right amount of heat to heat the dog house without getting the inside to warm for the dog.  On cold nights my dog only comes out to eat, drink, and potty.  Then back in he goes.  As you can see my dog is spoiled. ', 'I just got this today and I already love it. At first I thought it was going to be a heater that filled a small room with heat but it does not, instead after some adjustment I have this tiny heater blowing on me while I sit at my computer desk to warm me up!.So really it should be blowing on you to get the ""Personal"" benefit out of it. would I recommend it? Defiantly yes! Especially for those cold days in cold rooms this Personal heater does make a difference!', 'Love this thing! It was just what I was looking for. Puts out great heat right where I need it. I keep it near for my chilly feet. Great quality and low cost to operate. The casing stays cool when operating too. Always use any heat device responsibly.I am so glad I made this purchase.', 'The Lasko 100 heater has worked very well since purchasing a month ago. I use it in a cool basement where I have my office and it has helped keep my feet and hands nice and toasty while on the computer. It also helps keep some of my tropical houseplants at a constant warmer temperature along with a plant light I am also using. It puts out a fair amount of heat and is surprisingly quiet. It has only two settings, off and on but that suits my needs very well. It never gets overly hot to the touch and is not top heavy so I do not worry about it tipping over. A bonus is that the little unit looks pretty good too and does not take up much space if that is a concern.', 'I have an office with limited power available.  A normal heater would blow the circuit breaker.  So, I needed a low power heater.  This is it.  It consumes 200 watts and the circuit breaker does not blow.  No it does not put out as much heat as the other heaters.  It consumes less energy and puts out less heat.  But, that was what I needed.  it was either this heater or nothing.  Keeps my feet warm.', 'this little heater did a great job, i bought it for my rv and it warmed it up in no time....not for winter use, but a great spring/fall supplement heater for those times you just want to take the dampness and chill out.', 'My office building does not allow space heaters that put out over 200 watts.  My office is cold, so I bought this small heater out of desperation.  It does not heat the office, but it definitely help me to stay warm when it is at my feet or on top of my desk while I am working.Grant G, Spokane Washington', 'i bought the heater for myself a month or so ago needing extra heat at night time. i was in a motorcycle accident and was paralyzed in 09 and im on blood thinners which in the winter you freexe. i put it on the table next to bed and i couldnt believe how much heat comes from this heater. anyways as far as the quality its great. the simple on off with no adjustment is perfect. if it gets too warm simply move it away a couple inches and vise versa. i think its a super nice heater for the price i highly recommend it. office, desktop, table top, night stand etc.... great little heater A1 in my book. brian']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,Convection,46013764409,46013764409,Electric,"lemon yellow, Green,Black, Black, Green, Off White",1,100,"Ceramic,Plastic, Ceramic, Plastic",Lasko,"Unit Heater, Electric Portable Heater, Ceramic","Switch, Push Button, Switch,Touch, Touch",Lasko MyHeat 100,"Thermostat,Mini,Handle,Nonslip BASE, Handle, Indoor, Cool-Touch Exterior, Portable, Automatic Shut-OFF!,Cool-Touch Exterior,Overheat Protection,Power Indicator, Portable,Remote Control,Cool-Touch Exterior,Overheat Protection, Power Indicator, Automatic Shut-OFF!, Cool-Touch Exterior,Overheat Protection,Portable,Remote Control, Heating, Energy Efficient, Mini, Remote Control, Overheat Protection, Heater, Cool-Touch Exterior,Portable","Desk/Tabletop, Portable",4.3 in,200,,,,,,120 V,Under 150 sq ft,,,24 Hours,,Ceramic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silicone Heater Rubber Electric Blanket Flexible Mat Constant Temperature 4 Pack,34.75, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,705353259463,0705353259463,,Red,,,,Does Not Apply,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50X100mm,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sengoku HeatMate HMC-23K TWO WICKS  Kero-World Wick # 32000 Kerosene Heater Wick,31.49,Last item available,"['Good quality wick. Not Made in China. Easy to install. Good flame.alway check you owners manual for instruction to replace wick. Every heater is differant.', 'I needed an extra replacement wick for my kerosene heater as winter is once again approaching and this item fit the bill at a reasonable price,', 'Works fine and fits well.', 'Good', 'Exactly what I needed. Come before expected. Glad I found it']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,Convection,013204320003,,Kerosene,,,32000,,Kero World,Replacement Wick,,Sengoku HeatMate HMC-23K,,Free Standing,,Kerosene,,,,,,,951-1000 sq ft,,"23,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunbeam Low Profile Heater, , , ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",,,n/A,,,Electric,Black,2,,unknown,Sunbeam,Portable Heater,Dial,sunbeam,Auto Shut-off,Floor,unknown,unknown,,,,,unknown,120 V,100 sq ft or Less,,unknown,,,,unknown,,,,,,unknown,,,,,,,,4 Stars,none,,,,unknown,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Small Portable Energy Efficient Electric Heater Office Home Fan 110V,,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,China,,,,,,,Does Not Apply,Acrylonitrile Butadiene Styrene plastic,Unbranded,,,,,,,,,,,,,220 V,,,,,,,,,,Indoor/Outdoor,,,,,,,,,,,,,,,,,,,,,,,,,Compact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comfort Zone Heater Radiant Tower Space Heat Automatic Fuss-Free Operation,34.99, ,"[""This a very cost effective space heater to warm any area during a chilly winter, or - as we had during the early part of the Wisconsin spring - a slightly nippy start to spring. It works to warm a bedroom, normal sized living room (unsure of those with an open plan large setting), or a small area of a basement that you are working in. It has three settings, and has tip-over &amp; overheat protection. I like this product an awful lot, and thus I'll give it 4.5 stars. It does NOT have a remote, but I bought a separate one for that purpose. I am taking a half of a star off because EVEN though it does have tip over protection (meaning it shuts off in that case), it is slightly more easy to tip over than I thought it was. So if you have pets, it might NOT be the BEST idea to use it when they are out playing - NOT so much for safety sake, but to prevent your fur baby from getting injured stepping on it."", 'Works very well and set up takes only a few minutes...', ""This will be my last one. The last one I bought. Lasted one heating season.then quit. Everyone I've ever bought.never makes it through 2 heating season.and I've bought several.over the years. I'm done."", 'I am very happy with this portable heater it works awesome and provides heat to my bedroom, it feels confortable now, thanks so muchGreat Product at a nice PriceTotally Recommended', ""I've bought two of these heaters .Two years in a row . I live in Florida the winters aren't that long . The first one tipped over started making a loud rattling noise .Sent it back to manufacter to repair or replace according to warranty. Never heard from them .Second heater just stopped working I don't  know why .How ever when a pinch and finances are limited .I guess it will have to do .Survivor"", 'Has operated as advertised with one exception. The thermostat doesn’t function properly. It may be a problem with this unit only, difficult to say. This is not a deal breaker for me, only do to the way it’s used. ', 'This is a smaller version and much louder than the one I have ""like"" it, however it works ok, just not as elegantly because the fan even on low is VERY loud.. (great for passive aggressive people...) or loud locations anyway...sounds like a muffled vacuum cleaner.. ', 'Solid heat..Twice the cost of what the CZ550 1500w used to be but has increased to be in just a year &amp; only lasts 1 year or more if used daily during the cold season; so will see how long this model lasts with the same use. ', 'Was used, no just open box as stated.  Works fine but has something melted on the top.', 'I like the safety features and it can fit in just about any room and look nice.']","Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",,,,,,,,,CZQTV007BK,,comfort zone,Radiant Heater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500W Black Ceramic Electric Heater Household Small Silent Office Electric Heater,32.29,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,China,Ceramic heating,,,Electric,Black/pink,,,Anti-flaming ABS Materials,Unbranded,Baseboard Heater,Switch,,,"Desk/Tabletop, Floor",75mm,,,,100mm,,,220 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soleil PH-91 Heater Remote Control Tested Working Complete Free Shipping,34.99,Last item available, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,Infrared,Does not apply,,Electric,Black,3,NA,,Soleil,Portable Heater,Remote Control,NA,Timer,Floor,NA,NA,,,NA,NA,NA,120 V,NA,,5000-5999 BTU,,,,NA,,,,,,NA,,,,,,,,Compliant,NA,NA,A+++ - D,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110V Insulated Thermostatic PTC Ceramic Air Heater Store Surface Heating Element,,Free shipping and returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,China,Forced Air/Fan,354482671785,,Electric,Multicolor,1,1583828301,Ceramic,Unbranded,Electric Heater Parts,"App Control, Digital, Push Button",1583828277,"Auto Shut-off, Timer","Desk/Tabletop, Wall",See picture,500W,,,See picture,6 in,Strip,110 V,None,2021,None,None,None,Clear Connect,11-20 dB,,,,,No,PTC Thermistor,,,,,,,,A+++,1 gal or Less (5 L),None,A+++ - D,,None,,,,,,,See picture,,,,,Amazon Alexa,Other: See Item Description,,,,,,,,,,20 tons or Greater,,,,,,,,,,,,,,,Less Than 5 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honeywell Heat Giant Portable Electric Space Heater HZ2114 ,34.95, , ,,,,Forced Air/Fan,does not apply,,Electric,White,3,,"Chrome, Steel",Honeywell,Portable Heater,Rotary Knob,Honeywell Pro-Series HZ-2110,Auto Shut-off,PORTABLE,10,1001-1500 W,,,15,"7""",Coil,120 V,551-600 sq ft,,5000-5999 BTU,,,,11-20 dB,,,,,,Stainless Steel,,,,,,,,4 Stars,DOES NOT APPLY,10.1-11,A+++ - G,,90-95%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOT of 2 - Soleil Personal Electric Small PORTABLE SPACE HEATER- 250 Watt BLACK,34.88, ,"[""Brand new with zero scratches he's will give it a go tonight. Have 2 more of these that where bought at Walmart for 10$ over one year ago, Worked great and excellent for small spaces and safe for pets.  My cat has a red one and when he rubs all over his heater and knocks it over it automatically shuts off and I love the red light which is the indicator to let me know it is on. "", 'works great but only for small spaces it only uses 250watt but it doesnt have a spike when first turning on so its good to use with batterys power if your camping or what not lol, anywyays i would recomend this to anhone who has a small space to heat and dont want to use that much electricity. i would buy again if i had to ', 'I received this quick! Great product! Recommend ;)', 'Warm and nice.no smell', 'For $15 you can’t beat it, warms up my room. Thanks.', 'Good quality.', 'Very nice for the price', 'Pequeño,  práctico,  me encantó!!']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,Forced Air/Fan,0815900020757,,Electric,Black,1,,Ceramic,Soleil,Portable Heater,Switch,MH-08B,Auto Shut-Off,Desk/Tabletop,,201-300 W,,,,,,120 V,100 sq ft or Less,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250w 220v Heater 12v Dc Fan Thermostatic Egg Incubator Ptc Fans Heating Element,,Free shipping and returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,China,Forced Air/Fan,,,Fan,Black,1,1652689346,Ceramic,Unbranded,Portable Heater,Switch,1652689322,Auto Shut-off,Baseboard,As Shown,<800W,,,As Shown,As Shown,Radiation,12 V,Not Specified,,Not Specified,,,,Not Specified,,,,,,Radiation,,,,,,,,Compliant,As Shown,Not Specified,A+++ - D,,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Living room,CE,Fan Heater,PTC,"Portable, Freestanding",CN(Origin),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TEMPCO CSH00165 Strip Heater,120V,6 In. L,1200 Deg F",33.47, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,CSH00165,,TEMPCO,Strip Heaters,,CSH00165,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000w Mini Electric Heater Portable Desktop Heating Warm Air Fan Home ,32.28,Free shipping and returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,Electric,,,dIU3743165,ABS,Unbranded/Generic,,,,Digital LED Temperature display,,,1000W,Black White,,,,,110~240V,,,,,,,,,,,,,,,,,,,,,,,,,,,About 14x10.5x6.5cm/5.51x4.13x2.56in,,,,,,,,,,,,,,,,,,,,,,,,dIU3743165,,,,,,,,,,,,,,,,,,,,,,,,,,,,As description,21-30㎡,2 Gear,Over 8 hours,1x CR2032 Button Battery（include）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150W Portable Heater Heating Cooling Fan Defroster Demister for Car Truck 12V,,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,Does not apply,Does not apply,,,,Does Not Apply,,Unbranded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1pc of 12V Fast Heater Cooling Fan Demister Defroster+Bracket,12v,150w,black and gray,Cigar lighter,Heater*1+Bracket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
