Title,Price,Sold,Reviews,Condition,Heating Element Format,Model,Colour,Custom Bundle,Modified Item,Item Depth,Item Width,Energy Efficiency Rating,Material,Tank Capacity,Power Source,Type,Features,Operating Sound Rating,Energy Efficiency Ratio (EER),MPN,Mounting Location,Item Length,Area Covered,Number of Heat Settings,Power,BTU Heating Rating,Brand,Control Style,Heating Element Material,EC Range,Heating System,Annual Fuel Utilization Efficiency (AFUE),Voltage,UPC,Tonnage,Color,Rated Voltage,Mounting Hole Distance:,Mounting Hole Size,Size,Cooling Method,Cable Length,Weight,EAN,Country/Region of Manufacture,Air Direction,Manufacturer Part Number,Smart Home Compatibility,Prop65_fl,Item Height,Manufacturer,Prop65Warning,Country of Origin,Year Manufactured,Smart Home Protocol,ISBN,Perfermance 2,Product Name,Temperature,Application,Cover material,Lead wire,Energy Star,Perfermance 1,Current Rating,Marke,Rated Power,Mounting Hole Distance,International Availability,Compatible Brand,Compatible Model,Department,Product,Refrigerant,Timer Control,Manufacturer Warranty,Corrugation Length,Heating material,Location,Bundle Listing,Depth,Heater Style,Heating mode,Heating Wattage,Height,Mounting distance dimensions,Recommended Environment,Power Type,Recommended Location,Actual Color,Object Type,Handmade,Item Weight,Temperature Tolerance,Heat Material,Range,Shell Material,Gift,Shipping,Country Of Origin,Package Contents,Wire  Length,Wire width x thickness,Perfermance,Cable length,Product Type,Country of Manufacture,Item model number,Package Dimensions,Warranty,Maximum power,Placement on Vehicle,fit 1,Style,Part Type,OutOfStockControl,Control Type,Energy Rating,Wattage,Wire Length,Item Type,Noise,Feature,Patio Heaters Type,ProductType,Head Material,Pin,Usage,Body Material,Current Amp,inv,select,Kero-Sun Omni 85 I-L Wick,Wick 509,Hole Diameter,Color:,Final Product,Size:,Compatible Product,HeatMate CTN110 Wick,KeroHeat HMN-110 Wick,Measurement (Approximate),Redstone Wick,Resistance Properties,Name,Rated power,Rated frequency,Rated voltage,Applicable area,Control method,Recommended environment,Applicable,Package Included,Power Wire Length,Product color,Product function,Product power,Product size,Product voltage,Power supply,Unit Type,Plug Type,*1. Voltage,*2. Shell color,*3. Length of power cable,*4. Power,*5. Product size,Product Dimensions,Domestic Shipping,California residents,International Shipping,Shipping Weight,Applications 2,Applications 3,Function 1,Function 2,Batteries Required?,Assembly Required,Heating Method,Item Dimensions LxWxH,Is Discontinued By Manufacturer,Non-Domestic Product,Kero-World KW-23B
Mr. Heater F271239 Universal Gas Grill Fireplace Appliance Heater Hook-Up Kit,19.99, ,"[""This Mr Heater kit comes with everything you need to get your gas heat stove hooked up.I like the 22 in line provided it gives extra room for line hook up.You also have 3 different fittings provided for an application that will fit an if you don't need all parts provided you have spare parts that can be used layer on.It's a good buy an I recommend it to others.Thanks "", 'Everything I needed to hook up my gas water heater was included in the kit.', 'used it right away and the bolts worked well. The flex hose was just what i needed.', 'WHAT I LIKE IS THE COMBINATION OF THE FITTINGS. IT MAKE IT EASER TO PLUMB YOUR CONNECTION GAS LINE.', 'I would give it 5 stars but it took about two weeks to arrive. Plan for it to be awhile if you order it.', 'Everything you want to know about hooking up a propane heater is in this package! You are correct, sir! Yes!', 'great price', 'Everything is already once the appliance is set in place and ready for installation', 'Great deal and you get all the stuff to hook up your heater without having to run out for anything.']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,F271239,,,,,5.50,,Brass,,Gas,Gas Appliance Hook-Up Kit,,,,,,1.00000,,,,,Mr. Heater,,,,,,,089301712393,,Silver,,,,,,,,,,,F271239,Universal,Y,15.5,MR. HEATER,California residents see Prop 65 WARNINGS: This pr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PP217 HA3020 Pump Adjustment Kit & M16545 End Cover Desa, Master Heater, Reddy",17.95,455 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,,,,,,PP217  M16545,,,,,,,Unbranded,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MR. HEATER 13.42 In. Replacement Thermocouple F237349,17.61,41 sold,"['Factory replacement part, installed in minutes, its 17 degrees outside and Mr. Heater keeps me from freeing.', 'great replacement part that works well. Just follow the instructions and make sure  the tip touches the housing in order for it to absorb the heat and activate the gas valve.', 'This repair kit easily fixed my problem. My shop heater was getting hard to light now it lights up first time every time.', 'all local stores say no parts available so they can sell whole new burner but I got correct parts fast and great deal and quality ', 'It fit my heater (SRC15T Sunrite )but the safety tip-over wire was a little short.  Too relieve the strain on the wire I had too bend the connecting spade.', 'easy to replace , got my heater working again', 'Installed and heater works good.  Time will tell how long they last. ', 'Fixed my problem. My unit was not staying lit after release of the starter button.', 'It was shipped in good package where it could not be damaged and it exactly the part I needed', 'mr heater thermocouple. Looked great, exact match with my model, plugged in and heater worked, its a miracle. ']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,11 in,4.500,,Steel,,"Propane, Gas",Portable Heater,,None,,F237349,,5.600,,2,,,Mr. Heater,Switch,,,,,,089301373495,,Multicolor,,,,,,5.75,,0089301373495,United States,,,,,2.300,,,United States,2012,Thread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"500W Space heater, Programmable Wall Outlet Space Heater As Seen on TV FAST",18.99,76 sold, ,,,,,,,,,,,,,,,,,,,,,,,,ToysOpoly,,,,,,120 V,Does not apply,,,,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Replace Wheel Caster Wheels for Gree Pioneer Midea Electric Heating Oil Heater,,60-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,,,,,,,,,,,,,Unbranded,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Replace Wheel Caster Wheels for Gree Pioneer Midea Electric Heating Oil Heater,,60-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,,,,,,,,,,,,,Unbranded,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110V 300W Insulated PTC Ceramic Heater PTC Heating,17.20,60-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,,,,,,Does not apply,,,,,,,Unbranded,,,,,,,Does not apply,,,,,,,,,,Does not apply,,,,,,,,,,,,Does Not Apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2Pcs Industry MCH Metal Ceramic Heater Disk Resistive Heating Elements,9.8,82 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,Electric,Ceramic,Pack of 2,,,Does not apply,,,,,,,Hua Yue Ou,,,,,,,,,White,,,,,,,,,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2PCS PTC Heating Element Aluminum 12V Thermostat Line Electric Air Heater Plate,16.99,Free shipping and returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Other,0641623869,,,,Standard,Standard,,Aluminum,Standard,Electric,Electric Water Heater Parts,Durable,Other,Standard,0641623891,Other,Standard,Other,Other,2-5W/1-5W/2-6W,Other,Unbranded,Other,Other,A - G,Other,Other,12 V,,,Multicolor,,,,"6*30 mm, 20x15x5mm",,,,,China,,,,,,,,,,,,High efficiency/safe and reliable heating plate,PTC Heating Element,70/50/100C,Used in dehumidifier/Incubator/dryer/ heater etc,Aluminium,About 15cm,A,Constant temperature heater element,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTC Heating Element Aluminum Temperature Thermistor Air Electric Heater Plate,,Free shipping and returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Other,3009975350,,,,Standard,Standard,,Aluminum,Standard,Electric,Electric Water Heater Parts,Durable,Other,Standard,3009975375,Other,Standard,Other,Other,50/100/50W,Other,Unbranded,Other,Other,A - G,Forced Air/Fan,Other,24V,,,Multicolor,,,,"6*30 mm, 100x30x6mm",,,,,China,,,,,,,,,,,,High efficiency/safe and reliable heating plate,PTC Heating Element,60/230/120C,Used in dehumidifier/dryer/ heater etc,Aluminium,About 15cm,A,Constant temperature heater element,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
