Title,Price,Sold,Reviews,Condition,Heating Element Format,Model,Colour,Custom Bundle,Modified Item,Item Depth,Item Width,Energy Efficiency Rating,Material,Tank Capacity,Power Source,Type,Features,Operating Sound Rating,Energy Efficiency Ratio (EER),MPN,Mounting Location,Item Length,Area Covered,Number of Heat Settings,Power,BTU Heating Rating,Brand,Control Style,Heating Element Material,EC Range,Heating System,Annual Fuel Utilization Efficiency (AFUE),Voltage,UPC,Tonnage,Color,Rated Voltage,Mounting Hole Distance:,Mounting Hole Size,Size,Cooling Method,Cable Length,Weight,EAN,Country/Region of Manufacture,Air Direction,Manufacturer Part Number,Smart Home Compatibility,Prop65_fl,Item Height,Manufacturer,Prop65Warning,Country of Origin,Year Manufactured,Smart Home Protocol,ISBN,Perfermance 2,Product Name,Temperature,Application,Cover material,Lead wire,Energy Star,Perfermance 1,Current Rating,Marke,Rated Power,Mounting Hole Distance,International Availability,Compatible Brand,Compatible Model,Department,Product,Refrigerant,Timer Control,Manufacturer Warranty,Corrugation Length,Heating material,Location,Bundle Listing,Depth,Heater Style,Heating mode,Heating Wattage,Height,Mounting distance dimensions,Recommended Environment,Power Type,Recommended Location,Actual Color,Object Type,Handmade,Item Weight,Temperature Tolerance,Heat Material,Range,Shell Material,Gift,Shipping,Country Of Origin,Package Contents,Wire  Length,Wire width x thickness,Perfermance,Cable length,Product Type,Country of Manufacture,Item model number,Package Dimensions,Warranty,Maximum power,Placement on Vehicle,fit 1,Style,Part Type,OutOfStockControl,Control Type,Energy Rating,Wattage,Wire Length,Item Type,Noise,Feature,Patio Heaters Type,ProductType,Head Material,Pin,Usage,Body Material,Current Amp,inv,select,Kero-Sun Omni 85 I-L Wick,Wick 509,Hole Diameter,Color:,Final Product,Size:,Compatible Product,HeatMate CTN110 Wick,KeroHeat HMN-110 Wick,Measurement (Approximate),Redstone Wick,Resistance Properties,Name,Rated power,Rated frequency,Rated voltage,Applicable area,Control method,Recommended environment,Applicable,Package Included,Power Wire Length,Product color,Product function,Product power,Product size,Product voltage,Power supply,Unit Type,Plug Type,*1. Voltage,*2. Shell color,*3. Length of power cable,*4. Power,*5. Product size,Product Dimensions,Domestic Shipping,California residents,International Shipping,Shipping Weight,Applications 2,Applications 3,Function 1,Function 2,Batteries Required?,Assembly Required,Heating Method,Item Dimensions LxWxH,Is Discontinued By Manufacturer,Non-Domestic Product,Kero-World KW-23B
PTC Heating Ceramic Air Heater Thermostatic 500W 110V,18.22,60-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,Aluminum,,,,,,,Does Not Apply,,,,,500W,,Unbranded,,,,,,110V,Does Not Apply,,,,,,140*50*26mm/5.5*2*1inch,,,165g/5.8oz,Does Not Apply,,,,,,,,,,,,Does Not Apply,,,,,,,,,,,,,,,,,,,,,96mm/3.8inch,PTC thermistor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasko Oscillating Ceramic Tower Heater CT22539, , , ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",,Lasko 22539,,,,,,,Ceramic,,Electric,Tower Heater,"Timer, Oscillation",,,CT22539,,,,3,,,Lasko,"Switch, Remote Control",,,Convection,,120 V,,,Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Wick Kerosene Heater Wick,16.23,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,Kerosene,,,,,AW31P,Floor,,,1,,,American Wick Cans Unltd,,,,Radiant,,Not Electric,019944110317,,Silver,,,,,,,,0019944110317,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World Marketing Of America Reddy Heater Air Filter Kit,19.99,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,1976,,,,,,,,,,,,,,1976,,,,,,,WORLD MARKETING OF AMERICA,,,,,,,013204092153,,,,,,,,,,,United States of America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States of America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pick-A-Wick PW-55 Kerosene Heater Replacement Wick NEW,18.66,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,PW-55,,No,,,,,"Glass, 100% Cotton",,Kerosene,Wick,,Space Heater,,PW-55,Floor,,,,,,PICK-A-WICK,,,,Radiant,,Not Electric,0042338000550,,White,,,,,,,,0042338000550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Wick Kerosene Heater Wick,17.31,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,,,,,,AW-21P,,,,,,,American Wick Cans Unltd,,,,,,,019944110218,,,,,,,,,,,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st Century Fiberglass Wick for Kerosene Heater. Wick #171.,19.99, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,Wick Number 171,,,,,,,Fiberglass,,Kerosene,Portable Heater,,,,171,Floor,,,,,,21st Century,,,,Radiant,,,042077001719,,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12V/Silicone Heating Pad Car Fuel Filter Air Diesel Heater Mat - 250*90mm,16.78,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,Silicone&Alloy,,Electric,Silicone heater pad,"Adjustable Height, Digital Display, Mini, Portable",,,Does Not Apply,Desk/Tabletop,,,,,,Unbranded,Switch,,,,,12V,Does not apply,,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1x Silicone heater pad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasko Oscillating Ceramic Tower Heater CT22539, , , ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",,Lasko 22539,,,,,,,Ceramic,,Electric,Tower Heater,"Timer, Oscillation",,,CT22539,,,,3,,,Lasko,"Switch, Remote Control",,,Convection,,120 V,,,Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mainstays 3-in-1 Mini Tabletop Electric Ceramic Heater With Hand Warmer, Black",19.99, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,Ceramic,,Electric,,,,,,,,,,,,Mainstays,,,,,,,810040945243,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silicon Heater Wire Constant Temperature 220V Drain Pipe Electric Heater Element,,Free shipping and returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Other,2801306342,,,,Standard,Standard,,Silicon,Standard,Electric,Electric Water Heater Parts,Durable,Other,Other,2801306368,Other,Standard,Other,Other,40W/60W/80W/100W,Other,Unbranded,Digital,Other,A - G,Boiler,Other,220 V,,,White,,,,,,,,,China,,,,,,,,,,,,,Silicon Heater Wire,,"Used in Refrigerator, Drain-pipe, Pipeline",,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1.5/2/2.5M,7x5mm,Constant Temperature Anti-freezing Silicon Heat...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mr. Heater Fuel Filter for Buddy, Big Buddy & Touch Buddy Heaters F273699",16.79, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,Mr. Heater Buddy MH9BX,,,,,,,Steel,,,Fuel Filter,,,,F273699,,,,,,,Mr. Heater,,,,,,,089301736993,,Gray,,,,,,,,,,,F273699,,,,Mr Heater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12V Car Auto Portable Electric Heater Heating Cooling Defroster Demister P4H6,14.97,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,Black,,,,,,ABS,,,as shown,,,,Does Not Apply,,,,,120W,,Unbranded,,,,,,12V / 24V,,,,,,,about 10x7.2x1 2cm / 3.93x2.83x4.72 inches,,,,,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,about 10cm/43.31 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTC Heater Plate 12V-220V Constant Temperature Element Thermostat Heating Tablet,3.49,60-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Strip,PTC Heater Plate,Silver,,,N/A,20mm,A+++,Aluminium,N/A,--,PTC Heater Plate,PTC Heater Plate,N/A,---,Does Not Apply,---,50mm,N/A,1,----,N/A,Unbranded,----,Aluminium ( 铝 ),,---,///,---,,,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ALADDIN Kerosene Heater Battery Holder Case ""D"" batteries & **WICK CLEAN GUIDE**",17.99,5 watchers, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,"K-1 KEROSENE, Kerosene",Portable Heater,,,,Does Not Apply,,,,,,,"ALADDIN, KEROSUN",,,,,,,Does not apply,,,,,,,,,,,Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Battery Holder ""D"" size",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(2) Handy Heater Deluxe Wall Plug In 400W Open Box New,20.0, , ,"Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",,,,,,,,,,,,,,,,,Wall,,,,,,Handy Heater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KEROSUN Radiant 22, Radiant 10,Radiant 36 Kerosene Heater Mantle Heating Coil ",19.99,7 watchers, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,Radiant 8,,,,,,,,,K-1 KEROSENE,Portable Heater,,,,"RADIANT 22, 10",,,,,,,KEROSUN,,,,Radiant,,,Does not apply,,,,,,,,,,,Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heating Mantle Coil,Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Heater Electronic Flow Sensor for Macro Water Heater Gas Accessories,,60-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,,,,,,Does not apply,,,,,,,Unbrand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Heater Water Flow Sensor Switch Gas Accessories for Macro Water Heater H2U,,60-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,,,,,,Does not apply,,,,,,,Unbrand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12V 70W PTC Car Fan Air Heater Constant Temperature Heating Heaters Supplies,19.99,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,universal,,No,,2.05in,3.54 in,,Ceramic,,Fan,PTC Heater,,,,,"heater, humidifier, air conditioning and other commonly used appliances",2.36 in,,1,70 W,,Unbranded,automatic,,,Forced Air/Fan,95-100%,12 V,Does Not Apply,,Black,,,,,,,,,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DESA REDDY HEATER 4CR-1-908 MOTOR RELAY closeout Portable Heater 602935,,Last item available, ,"Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",,,,,,,,,,,,motor relay,,,,4CR-1-908 602935,,,,,,,Desa,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTC Air Heating Element 12V 120W Mini Fan Heater Small Space Heating Incubator,15.45,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,,,,,,Does Not Apply,,,,,,,Unbranded,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SUN-AIR-GLOW US-9-5, US-11-5  KEROSENE HEATER Wick & Igniter TUNE-UP KIT & BONUS",16.99, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,KEROWORLD,,,,,,,,,Kerosene,Kerosene Heaters,"Portable, Vent Free",,,28030,,,,,,,World Marketing of America,,,,,,,013204280307,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Constant Temperature PTC Fan Car Electric Heater Small Space Heating Incubator J,15.65,39 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,,,,,,Does not apply,,,,,,,Unbranded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heater Heating Element fit Eden Pure Heat Smart 250W Infrared SSF100 GEN3 1000xl,19.99,15 watchers, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,Eden Pure 1000,,,,,,,glass,,110 Volt,Portable Heater,,,,SSF100,Floor,,,1,,,heat smart,,,,Infrared,,120 V,Does not apply,,clear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2Pcs MCH Metal Ceramic Heater Plate Rectangle Resistive Heating Elements,14.8,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,MCH Heat element,,,,,,,,,Electric,Ceramic,Pack of 2,,,Does not apply,,,,,,,Hua Yue Ou,,,,,,,,,White,,,,,,,,,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2Pcs Industry MCH Metal Ceramic Heater Disk Resistive Heating Elements,8.8,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,MCH Heater,,,,,,,,,Electric,Ceramic,Pack of 2,,,Does not apply,,,,,,,Hua Yue Ou,,,,,,,,,White,,,,,,,,,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mainstays 3-in-1 Mini Tabletop Electric Ceramic Heater With Hand Warmer, Black",, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,Ceramic,,Electric,Portable Heater,,,,NT03-21AB,Desk/Tabletop,,,1,201-300 W,,Mainstays,Push Button,,,Forced Air/Fan,,120 V,810040945243,,Black,,,,,,,,,,,,,,,,,,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr. Heater Brass Propane Tank Refill Adapter ,19.99, ,"[""Easy to install by following the simple instructions on the package.  Makes filling the 1 lb canister simple and quick.  The instructions do warn the user to verify that there are no propane leaks (using soapy water) after a fill.  This is a MUST - I did have two leaky canister valves - and others were OK.  You may be able to stop the valve leak by a quick tap on the canister stem (helps to seal the canister's valve).  This is not a fault of the refill adapter - but simply a canister issue.     "", 'With the one pound propane tanks in the $3-4 range this is a real money saver.   I put the small tanks in the freezer overnight.  Made sure the twenty pound tank was 70-75 degrees.  Followed the directions exactly.  According to my scale just about 1lb of propane was transferred to the small bottle.  Works great.', ""No more buying replacement propane canisters for my camping stove! Yea!!! Those canisters can get expensive at $5-$8 a piece. With this adapter I'm able to refill my used canisters from my 20 gal propane tank, no fuss, no mess."", ""I HAVEN'T USED IT YET. however, IT IS HEAVY BRASS AND I am sure it will work well. The very idea of it gets 5 stars for me."", 'Excellent value. Easy to use. Completely satisfied.', 'Lots of information on how to use it. Works great!', ""Worked very well, he put the empty tanks in the freezer, then filled them upside down.  This made more room in the tank for filling. Will save $'s for next summer, while boating with his small grill."", 'Should have invested in one of these years ago when I was doing more camping.', 'Do not fill if not totally emptyDoes not fill to full', 'It did not work properly. It damages the 1lb. tank that is refilled!']",,,F276172,,,,,,,Brass,,"Electric, Gas, Propane",Adapter,"unisex, Low Pressure, Refill one pound bottles, soft nose POL, Canada restricted, Al..., Female Throwaway Cylinder Thread x Soft Nose P.O.L, Outdoor, refill one pound bottles, Al, soft nose pol",Standard,,F276172,,,,1,,,Mr. Heater,,Brass,,,1,,089301761728,Full,Gold,,,,,,,,,,,,,,,Mr. Heater,,,Unknown,Thread,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dual PTC 1500W Portable Tower Oscillating Electric Space Heater Fan Remote Only,18.99, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,TT-HE008,,,,,,,,,Electric,Tower Heater,Oscillation,,,Does not apply,,,,,,,TaoTronics,,,,,,,313038157173,,Does not apply,,,,,,,,0726084950498,,,,,,,TaoTronics,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.353 ounces,,,,,,,,,,,,,,,TT-HE008,25.9 x 9.3 x 9.1 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kero-sun Radiant 10 fire contraption Kerosun Kerosene Heater made in Japan,19.0, , ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",,Kero-sun Radiant 10,,,,,,,,,Kerosene,,,,,,,,,,,,KEROSUN,,,,Radiant,,,,,,,,,,,,,,Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
