Title,Price,Sold,Reviews,Condition,UPC,Brand,Control Style,Power Source,Color,Voltage,MPN,Material,Number of Heat Settings,Current Rating,Item Length,Heating Element Format,Air Direction,BTU Heating Rating,Type,Heating System,Features,Area Covered,Mounting Location,Item Width,Power,Model,Custom Bundle,Item Depth,Item Height,Manufacturer,Package,Piece Count,Item Weight,Year Manufactured,Size,Energy Star,Timer Control,Energy Efficiency Ratio (EER),Operating Sound Rating,Heating Element Material,Annual Fuel Utilization Efficiency (AFUE),Modified Item,Non-Domestic Product,Country/Region of Manufacture,Smart Home Compatibility,Tank Capacity,Smart Home Protocol,Cable Length,Manufacturer Warranty,Maximum Room Size,Color Category,Home Decor Style,Power Type,Recommended Use,Number of Drawers,Count,PPU Quantity of Units,Seating Capacity,Count Per Pack,Assembled Product Dimensions (L x W x H),Recommended Location,Shape,Assembled Product Weight,Global Brand License,Is Electric,Mount Type,Recommended Room,Product Name,Number of Burners,Colour,Location,Manufacturer Part Number,ISBN,EAN,Binding,Returns,Thermostat,manufacturer_part_number,Heating Wattage,Heater Style,Recommended Environment,Power (W),Height,Depth,Finish,EC Range,Style,Room Coverage Area,Modification Description,Manufacturer Color,Bundle Description,Width,Item model number,Batteries Required,Heating Method,Product Dimensions,item_width,item_length,Thickness,Warranty:,Wattage,Amperage,Certifications,Maintained operational temperature,Power Cord Length,Remote Control,Warranty Description,Country of Origin,Batteries Required?,Volume,Department,Import Designation,Finish Types,Is Discontinued By Manufacturer,Number of Pieces,Item Dimensions LxWxH,Power/Fuel Type,Indoor/Outdoor,Product Weight (lb),Amperage (amps),Room Size,Product Width (in),Portable Heater Features,Cord Length (in),Area Heated (Sq Ft),Wattage (watts),Heater Type,Certifications and Listings,Product Height (in),Color Family,Portable Heater Safety Features,Heater Controls,Voltage (volts),Product Depth (in),New Title,Number of Cool Speeds,Compressor Type,Refrigerant,Product Weight (lb.),Product Depth (in.),Product Length (in.),Area Heated (Sq. Ft.),Heat rating (BTU/hour),Pack Size,Number of Elements,Bulb Type,Mount Location,Product Width (in.),Product Height (in.),Resistance Properties,Protection Properties,Batteries,Package Dimensions,Heat Output,Mounting Style,Number of Speeds,Fan Style,Blade Orientation,Time Control,Suitable For,Model No.,SKU,Vent Hose Exhaust Configuration,Tonnage,Item Weight Major,Plug type,Plug,PackQty,Brand compatible,Cod. ETCO,Mark,Use,Service,Seller,Customer service,Hydronic,package_length,Baseboard Heating Type,Shipping Exclusions,Product Length (in),Heating Product Type,Satisfaction,Heating Technology Type,Vented,Price,USA Shipping,product_height_in,heating_product_type,wattage_watts,baseboard_heating_type,voltage_volts,certifications_and_listings,product_depth_in,heat_rating_btu_hour,color_family,hydronic,amperage_amps,power_fuel_type,product_length_in,heating_technology_type,pack_size,product_width_in,vented,product_weight_lb,thermostat,heater_controls,automatic_shutoff,installation,heater_type,timer_included,anti_freeze_setting,indoor_outdoor,acli_safety_plug,number_of_heat_settings,remote_control,accessories_included,oscillation,Supply,Timer,Turbo Fan,Nett Weight,Is Dishwasher Safe,Specification met,Is Assembly Required?,Gift,Shipping,Label,PackageQuantity,ProductGroup,ProductTypeName,Publisher,Studio,Ignition Type,Run time (hours),Fuel rate (gallons/hour),Fuel Tank Capacity (gallons),Place Of Installation,Control Type,Bundle Listing,Length,Item Diameter,Filtration Technology,Application,Contaminants Captured,Filter Life,Humidification Method,Ventilation System,Vent Style,Output Voltage,Input Voltage,Plug Type,Voltage Conversion,MaterialType,NumberOfItems,Assembly Required,Heat Range Diameter,Mounting,Fuel Type,SHIPPING,TAX,Customer Service,Handling Time:,Questions,Theme,Price Per Unit UOM,Is Portable,Age Group,Watts,Gender,Number of Shelves,Is Powered,Multipack Quantity,Calentador De Agua Cubeta,De Inmersión Con Elemento,Calentador De Agua Cubeta-,Dimension,Watt,Is Pet Friendly
Vintage Titan T760 Electric Milkhouse Heater 1320 or 1650 Watt Power,90.0, , ,,,Titan sales Corp,"Analog/Mechanical, Dial, Rotary Knob",Electric,Gray,120 V,,Steel,5 or More,,"17""",Coil,,,Portable Heater,Forced Air/Fan,,,"Desk/Tabletop, Floor","10""",1320-1650 Watts,T760,,"10""",,,,,,,,,,,,,,,,United States,,,,5',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDENPURE QUARTZ INFRARED PORTABLE HEATER GEN 3 MODEL A 3729 900 WATTS,89.99,30-day returns, ,,,EdenPURE,"Push Button, Touch",Electric,Black,120 V,A 3729,N/A,Variable,,N/A,N/A,,N/A,Portable Heater,Infrared,N/A,N/A,Floor,N/A,1001-1500 W,EDEN PURE GEN 3,,N/A,,,,,,,,A+++,,N/A,N/A,N/A,N/A,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A+++ - G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Master, Reddy Heater, Remington, Desa 098512-76 Combustion Chamber with HSI",89.0, , ,,,"Reddy Heater, Remington, Master",,"Diesel, Dual Fuel, Kerosene",,120 V,098512-76,,,,,,,,Portable Heater,Forced Air/Fan,,,Floor,,,Various models,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ELECTRIC ""DELONGHI"" SAFE HEATER",90.0, , ,,,De'Longhi,"Digital, Rotary Knob",Electric,Gray,120 V,DOES NOT APPLY,Steel,4,,14 IN.,Coil,,,Portable Heater,Convection,Auto Shut-Off,SPACE HEATER - SM ROOM,Floor,10 IN.,1001-1500 W,DeLonghi TRH0715,,6 IN.,,,,,,,,,,,,Steel,100%,,,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stiebel Eltron 236305 CK Trend Wall-Mounted Electric Fan Heater, 2000W, 240V",89.69, , ,,040232177170,Stiebel Eltron,,Corded Electric,,240,‎236305,"‎Ceramic, Copper",,,,,,,Electric Fan Heater,,,,,,,‎236305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,‎236305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vtg Markel Neo-Glo 198TM-ASA Electric Space Heater USA Made Metal Art Deco Works,89.0, , ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",,Markel,Dial,Electric,Brown,,,,3,,,,,,Portable Heater,,,,,10 In.,1001-1500 W,198TM-ASA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Master, Reddy Heater, Remington, Desa, Sears  M16781-4 Combustion Chamber ",89.0, , ,,,Desa,,"Diesel, Kerosene",,120 V,M16781-4,Steel,,,"13""",,,,Portable Heater,Forced Air/Fan,,,Floor,"7""",,Various models,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vintage TITAN Metal Portable Electric Space Heater 1300-1500 Watts Model T76081 ,90.0,6 watchers, ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",Does not apply,Titan,,Electric,Blue,110 V,206,Metal,,,,,,,Fan Heater,,"Analog Thermostat, Portable",,,16,,206,No,,,,,,,,,,,,,,,No,,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500-1999 W,13,7,Enamel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pelonis Space Heater Utility Heater 1500 Watts 120 V,90.0, , ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",Does not apply,Pelonis,,Electric,Brown,110 V-120V,unknown,Metal,,,,,,,Space Heater,,"Carrying Handle, Portable",,,,1300-1500 W,Titan 708A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arvinair Wall Hugger II Model WH-20 Fan Space Heater Night Light ,85.0, , ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",,Arvinair,"Rotary Knob, Switch",Fan,Beige,120 V,,Plastic,Variable,,,,,,Wall Heater,Resistance,,,Wall,,1001-1500 W,WH-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vornado Velocity 5 Portable Heater - Black,85.0, , ,"Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",0043765014554,Vornado,"Dial, Touch",Electric,Black,120 V,EH1016106,Aluminum,2,,7.5in.,Coil,,,Portable Heater,Forced Air/Fan,"Auto Shut-off, Timer",101-150 sq ft,"Floor, Desk/Tabletop",9in.,20 W,Velocity 5,,,,,,,,2020,,,,,11-20 dB,Copper,Less Than 80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vornado MVH Vortex Heater with 3 Heat Settings, Adjustable Thermostat, Tip-Ov...",86.99,30-day returns,"['I live in Nebraska and put the Vornado in a 25’x12’ ventless corner basement room with 4 windows. It works adequately for that room. It takes 10-15 minutes on the high setting to heat entire room so I can’t imagine ever using the low setting there. Maybe in a smaller room or camper or a warmer climate it would be needed. The Vornado is so quiet and the heating element hardly glows, that when first turned on I wasn’t sure it was working. It has a safety switch on the bottom and needs to be placed on a hard flat surface. It’s very compact and the plastic exterior makes it lightweight. That exterior though doesn’t seem real sturdy so I’ve got it up off the floor to avoid getting kicked or trod on. For the price and purpose I’m satisfied.', ""After searching for a year for a replacement for our beloved Braun heater we have finally found one that works well. The Vornado is not the design leader that the old Braun was but it does come close on one of the most important features for us. We use this heater in a quiet office environment, therefore the heater has to be quiet. We tried a popular Fasco, a Caframo that is styled after the Braun, and other brands. All were too noisy. The Vornado is not whisper silent like the Braun, but it come close. The noise level is about like a modern computer.Other features we like on the Vornado are the 3 heat settings, a fairly accurate thermostat and a decent length cord. The design is upright where the Braun was low. The vertical design with the large blade fan helps the Vornado more more air which helps warm up the room more quickly. It has a discrete small red led light that lets you know it's on. The heater is made in China.The downsides of this heater are minor. The heat range selector switch is not intuitive and dimly marked. You need to shine a light on it and maybe consult the manual to remember what the cryptic I, II, III markings mean. (I=low, II=med, III=high). And the case is shiny plastic which is a static electricity magnet. It attracts dust and animal hair easily. These are small issues. We normally leave the unit on one heat setting and it is under the desk, so pretty much out of sight. The black case helps it hide. Overall the heater looks to be well made and it's doing its job well. The price is a little high for a simple heater, but we are happy with it."", ""This is the third one of these I have bought. While it has a maximum of 1500 watts, these heat a room the most evenly of anything you can buy. It is quiet and you won't get burned like other heaters. "", ""This is my second Vornado fan I've purchased. My first one is still working perfectly but I never want to be without one and may use this second one when I travel.  I live in a rental suite that is chilly in Spring and Fall. Despite how benign this fan looks it produces a significant amount of heat.  I only start the day running this heater on the 1000 Watt (medium) setting and then turn down to low for the remainder of the day. It heats my open floor plan living room and dining room exceptionally well without driving up the electrical bill. Cheaper than running the furnace or my natural gas fireplace (altho come winter we use that in conjunction with the heater fan).  Bear in mind this is the most reliable model. Other models of heater fans by Vornado do not have the longevity of this one yet still cost as much or more. Read the reviews and choose this model for great value."", ""This little room heater is outstanding. I bought it for my daughter's bedroom is she's on the second floor and as we heat with wood sometimes your room cools down below normal during the winter. This little heater keeps her room nice and toasty I would recommend it"", 'Heats the bedroom up quickly. Like the thermostat settings to keep room at even temp.', 'Compact size  heats a room in no time at all   I love it', 'Compact size', 'Quiet efficient small size unit=Love it', 'Vornado heaters are the only ones that I use, as they are dependable, quiet, and safe!  This one is the quietest one I have ever had and, like all Vornado heaters, warms my bedroom in about 2 minutes.  This is one great heater!']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",043765009284,Vornado,"Touch, Dial",Electric,Black,,EH1009106,,3,,,,,,,Forced Air/Fan,,,Desk/Tabletop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0043765009284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StyleWell Electric Stove Heaters 400 sq. ft. Black with Electronic Thermostat,,30-day returns,"[""Had one already and wanted another for chilly guest room. Compact, love the 'flame' on this particular model, it's flowy &amp; mesmerizing, my brain/body think it's real. Warms a small room nicely. Has a subtle hum when the heater isn't running, but they all do. Has thermostat, which is a must have. I've had lots of them over the years, this one is my favorite."", ""It suits my needs and is precisely what I wanted. Such a heater  is not available in Australia. It's small and compact, is an infrared Quartz heater and has glass on three sides. Perfect for my wee cottage. I'm LOVING it. The company in the US from which I bought it were wonderful too."", ""Its ok but I don't think it heats 1,000sq feet ,it barely heats half that."", 'Looks really great, flames are more realistic than most electric fireplaces, throws off a lot of heat even on low setting.', 'It is exactely what I wanted heater is wondeful works perfect.', ""This is my second purchase of this model heater, and I'm very  happy with it,""]","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",0872076034032,StyleWell,"Rotary Knob, Remote Control, Digital",Electric,Black,120 V,EST-417-10,Steel,Variable,,,Strip,,4600 BTU,Infrared,Infrared,Thermostat,400-1000 sq ft,"Floor, Desk/Tabletop","17 in, 17in.",1001-1500 W,EST-417-10,,10.00 in,,,,,,2019,,,,,Standard,Steel,,,,,,,Infrared,,,,,,,,,,,,,,,,,,,,,,,,,,,0872076034032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comfort Zone CZ499R Ceramic Oscillating Digital Tower Heater 1500W with Remote,85.37,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",075877250780,Comfort Zone,,,,,,,,,9.65,,,,,,,,,8.86,,Comfort Zone,,,25.3,Comfort Zone,,,6.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CZ499R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500-Watt Portable Electric Space Heater Pivoting Base,86.46,Last item available,"[""I am somewhat disappointed with this heater.  I work in a large open workspace and winter mornings can be uncomfortable with lower temperatures.  I purchased this heater with the impression that it force out a strong powerful heat.  It surely looks the part.  When I plugged it in, I realized that it didn't put out any more forced hot air than the cheap Walmart heaters. When it heats up, it does warm up an area in my house without problem, but rather useless where I work.  Its also not affective in my garage. My garage is not insulated. Again, the purpose of this heater was to have a reliable source of warm air to work in my garage.  It simply does not have the blower power that it looks to have. Its a good space heater for any room, but not  what I needed it for.  I am disappointed. These should be made with a more powerful blower."", ""Pros - quiet operation.Con - gives off about as much heat as a candle.Do not recommend this product for cold applications.If the room was in the 40's (F) or 50's (F) maybe this would work.  I used it in my garage with a starting temp of 34 (F) and the coils never even glowed.  Gave off some heat but could hold me hand directly in front of the unit for an extended period of time.  Also the picture on the box showed the inner coil glowing, which gives you a sense this unit puts out some heat.  That doesn't happen either.  Would maybe use this in a office setting but not in a work shop."", 'I bought this product  because I have a moderate problem with bed bugs and I know heat is supposed to be one of the methods of killing these bugs. I have not tried using it for this purpose yet but I have used it in my bathroom to see if it would help dry wet clothes which worked well and it also helped me to see how well it heated and see if maybe if it could be a possibility for killing the bugs I have a problem with. not sure if it strong enough for this idea but works great for helping dry clothes and heat a small bathroom. I would suggest anyone trying to use it for any of these purposes closely moniter this heater and not leaving it on when leaving their home or for extended lengths of time , but it is a nice little heater and I would recommend it.', ""Purchases this item because I just poker games in my garage and living in Chicago and being in the winter we needed a heater to help out during game time. I put the heater in max mode and not matter what it just wasn't throwing out enough heat.You literally have to be right in front of the heater to feel anything. I wanted something affordable that was not powered by propane however they do say u get what you paid for."", ""I bought two of these for my garage and disregarded the previous reviews i read. The fan barely puts air out. It gets hot, but the fan almost seems like the motor is junk. I'll still use it. I'll just put a box fan behind it so it can actually move heat around."", ""The heater is built well and is safe however its useless in a garage or outdoors. I would recommend it for use in a indoor room or basement environment where it doesn't have to compete with more harsh temperatures. Not exactly what I was hoping for!"", 'This looks good in the pictures, but is a terrible heater. The forced air is a joke. Plus it does not get hot. With the thermostat on high, after 15 minutes, I could still hold my hand about six inches in front of the grill. Very disappointed.', 'I thought I was going to buy this to upgrade the heater I use at work in the shop. I ended up just putting it in my car that I’m working on on the side of my house. It gets to about 80° inside just a car. I don’t expect it would be able to heat the shop. The fan is very weak as well.', 'It is good product for the price, it is slow on heating a large area but keeps it at a good temperature.', 'It came in a timely manner and works great as long as its pointed at you. Give it a little time and it does warm a small space up']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",0013204415006,DuraHeat,Dial,Electric,Multicolor,120 V,EUH1500,"Metal, Steel",Variable,,,,,"5,120 BTU","Forced Air/Fan Heater, Electric Portable Heater",Forced Air,"Handle, Indoor",250 to 499sq ft,"Garage, Wall","8 in, 8in.",1500,EUH1500,,,,,,,,,,N/A,24hr.,N/A,None,Steel,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0013204415006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vornado Velocity 1500-Watt HD Heater Fan Forced Air Electric Portable Heater,85.0, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",043765016084,Vornado,Push Button,"Electric, Fan",Black,120 V,1006209356,"Steel, Plastic","2 Heat, 1 Fan",,96 in,,,5118,Portable Heater,Forced Air/Fan,"Fan Included, Handle, Quiet Operation",201-250 sq ft,"Desk/Tabletop, Floor",11.65 in,1001-1500 W,EH1-0181-17,,10.39 in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oscillating 27'' Whole Room Tower Heater & Fan w/Remote Control by Pure Guardian,86.75, , ,,817624011578,PureGuardian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
