Title,Price,Sold,Reviews,Condition,Model,Type 1,Material,Type,MPN,Brand,Voltage,Size,Color,Mounting Location,UPC,Marke,Annual Fuel Utilization Efficiency (AFUE),Gas Consumption (kg/h),Gas Type,Ignition Device,Overheat Cut-Off Temperature,Supply Pressure (Mbar),EAN,Power Source,Item Length,Colour,Heating Element Material,Control Style,Heating System,Item Width,Power,Manufacturer Part Number,Manufacturer,Item Height,Item Weight,Number of Heat Settings,Smart Home Compatibility,Area Covered,Features,Smart Home Protocol,Operating Sound Rating,Heating Element Format,BTU Heating Rating,Energy Efficiency Ratio (EER),Item Depth,Tank Capacity,Power/Fuel Type,Indoor/Outdoor,Product Weight (lb),Amperage (amps),Room Size,Product Width (in),Portable Heater Features,Cord Length (in),Area Heated (Sq Ft),Wattage (watts),Heater Type,Certifications and Listings,Product Height (in),Color Family,Portable Heater Safety Features,Heater Controls,Voltage (volts),Product Depth (in),Year Manufactured,Air Direction,Cable Length,Assembled Product Dimensions (L x W x H),Assembled Product Weight,ISBN,Energy Star,Timer Control,Binding,Returns,Country/Region of Manufacture,Custom Bundle,Refrigerant,Tonnage,Manufacturer Warranty,Current Rating,Unit Type,Power Type,Recommended Location,manufacturer_part_number,BTU Cooling Rating,Bundle Description,Energy Efficiency Rating,Number of Cool Speeds,Product Type,Noise,Wind Speed,EC Range,Heating Method,Item Dimensions LxWxH,Recommended Environment,Room Coverage Area,Heater Style,Width,Heating Technology,Height,Manufacturer Color,Prop65_fl,Prop65Warning,Location,Modified Item,SHIPPING,RETURN,ITEM LOCATION,International buyers,PackQty,Vehicle Type,Heat Type,Style,Color/Finish,Housing Material,Fuel Type,Assembled Width (in),Cord Length (ft),Assembly Required,Assembled Height (in),Heating Area (sq ft),Outdoor Living Product Type,Assembled Depth (in),Total BTU,Patio Heater Type,Shipping,Tax,Item Location,Quantity,Country of Origin,Label,PackageQuantity,ProductGroup,ProductTypeName,Publisher,Studio,750 Watts,1500 Watts,Living Room Safe,Bedroom Safe,Stage,Approved,Mobile Home Safe,Cod. ETCO,Mark,Supply Voltage,Power Rating,Peak Temperature,Heating Wattage,Baseboard Heating Type,Hydronic,Product Length (in),Thermostat,Heating Product Type,Vented,Heat rating (BTU/hour),Heating Technology Type,Weight,Hight,Product Name,Thickness,Modification Description,Model No.,Product Length in inches,Product Width,Product Height,Product Weight in pounds,Materials,product_height_in,product_depth_in,heater_controls,automatic_shutoff,installation,wattage_watts,heater_type,certifications_and_listings,timer_included,color_family,anti_freeze_setting,indoor_outdoor,acli_safety_plug,number_of_heat_settings,heating_technology_type,remote_control,product_width_in,power_fuel_type,thermostat,heating_product_type,accessories_included,heat_rating_btu_hour,pack_size,amperage_amps,voltage_volts,oscillation,product_weight_lb,Heating BTU,Length,SKU,Application/Usage,Form Factor,Product Model,Heating Element,Maximum Heat Power,Product Family,Product Line,Item model number,Batteries Required?,Is Discontinued By Manufacturer,Product Dimensions,Is Dishwasher Safe,Department,Import Designation,Number of Pieces,Specification met,Included Components,assembled_depth_in,firebox_depth_in,assembled_height_in,area_heated_sq_ft,total_btu,firebox_height_in,assembly_required,firebox_width_in,heat_output_btu_hour,assembled_width_in,included,Is Assembly Required?,Batteries Required,Sub-Type,Finish,Package,Piece Count,Model Number,Depth,Number of Batteries,Battery Size,Battery Included,Motor Type,Battery Capacity,Battery Life,Configuration,International Availability,Produktart,Heizsystem,Leistung,Montageort,Stromquelle,Spannung,Steuerungsart,Anzahl der Heizstufen,Farbe,TAX,Customer Service,Handling Time:,Questions,Number of Items In Set,UPC/GTIN Code,Mor Electric Heating SKU,Pack Size,ItemPackageQuantity,Number of Shelves,Number of Drawers,Seat Depth,Seating Capacity,Firmness,Set Includes,Number of Items in Set,Load Capacity,Stove Type Compatibility,Installation,Product Lot Quantity,Shipping Weight,Global Brand License,Home Decor Style,Is Electric,Is Pet Friendly,Variant Group ID,Theme,Price Per Unit UOM,Count Per Pack,Number of Burners,Is Portable,Is Primary Variant,Recommended Room,Count,Age Group,Actual Color,Gender,Is Assembly Required,PPU Quantity of Units,Mount Type,Variant Attribute Names,Multipack Quantity,Compressor Type,GTIN,Number of shelves,Stove Type Compability,Product,Wattage,Item Package,Warranty,Dimensions,NumberOfItems,MaterialType,Agency Compliance,Watts,Heat Output,Binding Size,Fragrance Name,Country of Manufacture,Scale,Connectivity,Playable Media Format,Volume,Chipset Manufacturer,Screen Size,Compatible Brand,Chipset/GPU Model,Processor,Storage Capacity,Case Size,Band Material,Battery,Maximum Resolution,Display Technology,Mount,Internet Connectivity,Bundle Listing
Lasko 5397 Ceramic Pedestal Heater with Remote Control,101.11, ,"[""I've had several Lasko heaters, but especially like the pedestal ones.  I currently have one very similar which is 10 years old &amp; still going after heavy use.  It did make a strange noise recently &amp; decided to buy another one just in case it might be wearing out.  However, haven't heard the noise again.  This is an updated model of my old one."", ""Overall this is a good little heater. It has a small footprint and it will warm a small-medium size room in about 15-20 minutes.  The ability of the unit to oscillate and the fact that it has remote control makes this about as convenient as it gets. Lots of good features and controls. Only caution is to make sure that you don't have two of these units plug into outlets that are on the same breaker.  If you do the breaker has to be at least 20amps. Anything less will trip the breaker on high draw when the heaters are warming the room. This is definitely more efficient than powering up to central heater for the whole house."", 'My last lasko heater lasted 7 years and was used a lot. I love the design of the new one. Hopefully it lasts as long as my first one. This one is quieter with a remote👍', 'This works well in heating our family room.  Saves heating the whole house.  I especially like remote control and ability to adjust to different temps.  Takes up little space and turns like a fan so covers a wide area.', 'We bought this for my son in laws man cave and he loves it. He turns it on and 10 minutes later can stay in his man cave all night long! Considering its been in the single digits, its an awesome heater and at a very good price!', ""i needed to heat a small room it works great but they don't give you the required screws to put it together.  I had screws at the house that worked.  i could imagine how this would make some people mad tho"", ""Here in NW Florida, it gets cold enough for a heater. To save money I dont cut on my main heat. It's a heat pump. Heat pumps dont provide much heat and they cost a lot to run. I have two of these lasko tower heaters. They provide all the heat I need  and keep my electric bill manageable."", 'I bought  2 of these for supplemental heat . I love the thermostat and the timer . They work wonderfully and I would buy them again.', 'I have owned two in the last 6 years one is still working well. I bought my new one to replace oil one good for 300 square foot room quite running.Recommend getting the pedestal one it seats higher.', 'The output of air does not go very far but I use it close by.']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,0046013764423,,,,,,,,0046013764423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BLACK+DECKER Tower Space Heater, Infrared Heater with Remote Control, 1500W, 40°",104.99, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,Does not apply,,Does not apply,,,Black,,7445005095010,,,,,,,,,Corded Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Forced Air, Convection",6.3 x 6.8 x 21.7 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EUH1500 Industrial Electric Heater, 1500-Watts - Quantity 1",103.46, ,"[""I am somewhat disappointed with this heater.  I work in a large open workspace and winter mornings can be uncomfortable with lower temperatures.  I purchased this heater with the impression that it force out a strong powerful heat.  It surely looks the part.  When I plugged it in, I realized that it didn't put out any more forced hot air than the cheap Walmart heaters. When it heats up, it does warm up an area in my house without problem, but rather useless where I work.  Its also not affective in my garage. My garage is not insulated. Again, the purpose of this heater was to have a reliable source of warm air to work in my garage.  It simply does not have the blower power that it looks to have. Its a good space heater for any room, but not  what I needed it for.  I am disappointed. These should be made with a more powerful blower."", ""Pros - quiet operation.Con - gives off about as much heat as a candle.Do not recommend this product for cold applications.If the room was in the 40's (F) or 50's (F) maybe this would work.  I used it in my garage with a starting temp of 34 (F) and the coils never even glowed.  Gave off some heat but could hold me hand directly in front of the unit for an extended period of time.  Also the picture on the box showed the inner coil glowing, which gives you a sense this unit puts out some heat.  That doesn't happen either.  Would maybe use this in a office setting but not in a work shop."", 'I bought this product  because I have a moderate problem with bed bugs and I know heat is supposed to be one of the methods of killing these bugs. I have not tried using it for this purpose yet but I have used it in my bathroom to see if it would help dry wet clothes which worked well and it also helped me to see how well it heated and see if maybe if it could be a possibility for killing the bugs I have a problem with. not sure if it strong enough for this idea but works great for helping dry clothes and heat a small bathroom. I would suggest anyone trying to use it for any of these purposes closely moniter this heater and not leaving it on when leaving their home or for extended lengths of time , but it is a nice little heater and I would recommend it.', ""Purchases this item because I just poker games in my garage and living in Chicago and being in the winter we needed a heater to help out during game time. I put the heater in max mode and not matter what it just wasn't throwing out enough heat.You literally have to be right in front of the heater to feel anything. I wanted something affordable that was not powered by propane however they do say u get what you paid for."", ""I bought two of these for my garage and disregarded the previous reviews i read. The fan barely puts air out. It gets hot, but the fan almost seems like the motor is junk. I'll still use it. I'll just put a box fan behind it so it can actually move heat around."", ""The heater is built well and is safe however its useless in a garage or outdoors. I would recommend it for use in a indoor room or basement environment where it doesn't have to compete with more harsh temperatures. Not exactly what I was hoping for!"", 'This looks good in the pictures, but is a terrible heater. The forced air is a joke. Plus it does not get hot. With the thermostat on high, after 15 minutes, I could still hold my hand about six inches in front of the grill. Very disappointed.', 'I thought I was going to buy this to upgrade the heater I use at work in the shop. I ended up just putting it in my car that I’m working on on the side of my house. It gets to about 80° inside just a car. I don’t expect it would be able to heat the shop. The fan is very weak as well.', 'It is good product for the price, it is slow on heating a large area but keeps it at a good temperature.', 'It came in a timely manner and works great as long as its pointed at you. Give it a little time and it does warm a small space up']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",EUH1500,,"Metal, Steel","Forced Air/Fan Heater, Electric Portable Heater",EUH1500,DuraHeat,120 V,,Multicolor,"Garage, Wall",013204415006,,,,,,,,0013204415006,Electric,n/a,,,Dial,Forced Air,"8 in, 8in.",1500,,,,,Variable,,250 to 499sq ft,"Handle, Indoor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24hr.,,,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dreo Space Heater for Indoor Use Quiet&Fast Portable Heater w/Remote LED Display,103.95,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,Does not apply,,Dreo,,,,,,,,,,,,,,AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Forced Air & Convection,6.14 x 6.14 x 16 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dreo Space Heater for Indoor Use, 1500W Fast Heating Ceramic Electric Black ",100.95,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Does not apply,,Does not apply,Does not apply,DR-HSH003,Dreo,Does not apply,,Black,Does not apply,860006539566,,Does not apply,,,,,,0860006539566,Corded Electric,Does not apply,,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,,,,,Does not apply,,Does not apply,Does not apply,,Does not apply,Does not apply,Does not apply,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STANLEY ST-400LED-120 LED USB Electric Heater Yellow/Black,,Last item available, ,,,,,,ST-400LED-120,Stanley,,,Black,,Does not apply,,,,,,,,Does not apply,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caframo 13205954 True North Deluxe 9206 120vac High Performance Space Heater -,100.0,30-day returns,"['I bought this heater to use on my boat. We spend weekends on the boat through the winter but it’s seldom  sub zero . Used the heater for the first time and it performed better than I expected. It is very stable and well constructed. It does not get overly hot which I like for safety reasons. The fan is more than adequate and it took no time to make the salon and galley very cozy and comfortable. It has a setting that turns the unit on at low heat and fan speed if temp hits 37•F (as I recall) great purchase.', 'This heater is the best I have ever had. Its made in a 1st world country (Made in Canada) using 1st world materials, extremely high quality heater with a 5 year warranty and heats a room quickly and moves a lot of heat and air with its centrifugal impeller fan. This heater will outperform and outlive any heater made in China.', 'It is small but very efficient and works well. We use it in our vacation houseboat when the chilly weather hits here in VA. Great for small spaces such a a bedroom or bathroom. ', 'I got this heater to use as a Partial heater to save on my Lp gas in my camper and so far it does wonderful', 'Great Heater.  Used in Travel Trailer.  Just what I needed to heat the inside.  Has thermostat that cuts heater on and off when you set it.', 'Great product', 'Exactly as advertised ']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",9206CABBX,,Steel,Space Heater,9206CABBX,Caframo,12 V,,Black,"Wall, Desk/Tabletop, Cabinet",0062503920605,,,,,,,,0062503920605,Electric,9.5in.,,,"Dial, Rotary Knob, Switch",Forced Air/Fan,11in.,1001-1500 W,,,,,,,,"Auto Shut-off, Timer",,,,,,11 in,,,,,,,,,,,,,,,,,,,,,,150 ft²,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy Wise Solutions Logan HS-1500-ILO Radiative Heater,102.24, , ,,Heat Storm HS-1500-ILO,,Wood,,,Heat Storm,110 V,,Silver,Floor,0713757882224,,,,,,,,,"Wood, Electric",,,,"Remote Control, Digital",Radiant,,,,,,,2,,,,Infrared,,,Less Than 2000 BTU,,,,,,,,,,,,,,,,,,,,,,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UTV/Golf Cart/Boat Heater Portable Propane 4,000 BTU Safety Shutoff Warm Radiant",100.99,5 watchers,"['the actual heater is great. Easy to use and works every time. Problem is with the lower portion that fits into the cup holder. Entire unit is extremely top heavy and can very easily tip out of the cup holder. The fit into the cup holder in my club car golf car is loose and poorly designed. I would not reccomend this item.', 'Have bought 3 different style heaters in 3 years to use golfing (with cart covers) and this Mr. Heater unit is the best. Regarding cost, starting ease, overall warmth, and quality construction this is by far the best heater on the market. Four players in my gaggle of friends (playing in the winter) own this unit and are thoroughly pleased with its performance and durability. If you winter golf, Buy It!', 'I last owned a Coleman brand Golf Cart Heater....it lasted about 10 years and finally died. I purchased this MH4GC unit next and it is not as good as the Coleman unit, but the Coleman unit is no longer made, so I\'m stuck with this one. Couple of issues...first and foremost, this heater is way top heavy so it will NOT stay put in a golf cart cup holder...the slightest bump and it flies right out of the cart\'s cup holder and if it lands on a person, they will get burned....I know, because it happened to me! I now have it ""tied"" in place with a bungee cord when I use it. No way could the manufacturer have tested this properly...my golf carts are 2017 model electric EZ Go Golf Carts. Second, there is no variable control on the heat...it\'s either wide open or shut off. I\'m not crazy about that, it does consume fuel at a higher rate than one with an adjustable propane flow valve, but you\'re compelled to live with it if you want heat. If I can find another option when this one dies, I will undoubtedly try it.', ""Pretty simple to operate. Screw in 1 lb camper gas canister, press 'on' button a couple of times until it lights and you have heat. To turn it off hit the 'off' button. I ordered it for use in a golf cart.  Nothing to put together other than putting the canister into the holder and setting it into a cup holder."", ""I had to ding this product because the poorly designed tip-over switch defeats the premise of the product.At even the tiniest bump in the cart path or fairway this heater turns itself off -- you will have to re-light 30+ times per round.It's a shame because it does put out nice heat and is otherwise effective and generally a fair price.The manufacturer missed the mark here."", 'Used it in my side by side this past week while hunting. Takes the rocky roads really well, the stiff north wind did blow it out a couple of times while driving around but overall it worked really well. I would recommend it and it really helps keep you warm while driving around the deer lease.', 'This heater works great in a covered cart, in fact it can get too warm, even when the outside temps  are in upper 30s and lower 40s.  In an open cart you feel the heat when the cart is stationery, however when moving or winds over 10 mph you can feel the heat.  The holder works in the smaller cart cup.Suggest they need to have an adjustable temp knob.All in all, I like the Mr. Heater portable golf cart heater.   ', ""I have something similar to this in my shop, but they are bigger, but when they heat up the screens glow orange, this little one doesn't do that so I thought it wasn't working correctly. But if you do like the instructions say and make sure the pilot is lit. Then leave it alone it will start producing heat. "", ""Mr. Heater that I got was brand new and worked great.  I even got it 1 day earlier than expected.  I've already used it 3 times and it has worked great!"", ""I read all the reviews I could find on this heater before purchase, so expected a good product.  It had to sit under the tree for a few days but Christmas morning it was installed in the cart!  It has been out on one excursion and all the guys wanted to 'ride in the warm cart'.  The hubbby is more than pleased!It sits steady in the front cup holder, is cool to the touch on all sides (well not the front of course), and works instantly!  More than pleased hubby here...........""]","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",F242010,,"Metal, Plastic",Portable Heater,F242010,Mr. Heater,Not Electric,,Black,Cupholder,089301000223,,,,,,,,089301000223,Propane,,,,Switch,Radiant,,,,,,,1,,,Auto Shut-off,,,,4000-4999 BTU,,,,,,,,,,,,,,,,,,,,,,1998,,0in.-14in.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Golf Cart, UTV, Boat",Radiant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,500-Watt Infrared Wall Mount Black Electric Patio Heater",102.96,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",HIL-TW15R,,,Does not apply,HIL-TW15R,Unknown,,,Black,,744759599315,,,,,,,,0313054484451,,,,,,,,,,Hiland,,,,,,Remote Control,,,,,,,,,,8 lb,,,,,,,1500 W,,,,Black,,,120,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Modern,Black,Metal,Electric,25 in,8,Yes,6 in,1000,Patio Heater,4 in,0 Btu,Wall Mount Patio Heaters,Free Shipping,Tax Free,US Stock,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MR. HEATER 45,000 BTU Convection 540 Degree Tank Top Propane Heater F242540",100.52,30-day returns,"[""Easy to set-up and really puts out the heat.  On the lowest setting this thing gets super hot!  I live in Wisconsin, on a 18 degree November morning this heater warmed our non-insulated 2-1/2 car garage to 72 degrees in a little over 2 hours (on the highest setting).  Does not come with electronic ignition but that's not a deal breaker.  Starts easily (just don't stand above it when lighting)    Seems well made.  Quality product with very good packaging.  I do not regret this purchase!"", 'I use to have a smaller, 15000 size tank top and the winters in the cinder block garage were tough. This product is faster and I feel more efficient to operate, thumbs up here', 'I use this out in my 20x12 shed, keeps me warm when I am working or just sitting out there. It get pretty cold where I live and it is nice to go out and fire it up. Within a couple minutes, it’s toasty, ready to work. ', ""I think that it's ok for use inside a shop but not for what I wanted to use it for which is outside use. now that's not the fault of the seller, it was on me and this by no means is a bad review.  I take full responsibility for this purchase. thanks "", 'Easy assembly and has plenty of heating power, its also a low profile so is space saving, also simple to light with a wood match or long lighter', 'Great emergency heater!  It took no time to heat up a couple rooms of a little trailer, and the heater was only on low!  At that setting a tank of propane should last around 14hrs.  I imagine on high it would be the type of heater that several people could stand around in some pretty cold weather and keep warm, like during ice skating.  Even on high, a tank should last about 9.5hrs.  A good value!', ""I love this little gadget. We've had the tall metal heaters for years and they've gotten so rusty and nasty and they take up so much room on our deck. This one is small, easy to hook up, easy to use, and it really heats the place up."", 'I really like it. Type this into YouTube and see my video reviewType... Mr. Heater F242540 45,000 BTU 540 Degree Propane Heater.I made the review I was looking for and could not find. My gas meter and regulator went bad in Pennsylvania on one of the coldest days of the year. I was caught unprepared. Now at least I have a backup portable heat source. I wish I could add my video to this post but it will only let me add pictures. So go check out my video.', 'It works awesome but eats up propane fast. On low a 20 lb tank only lasts about 6 hrs. But i still love it', 'I got it because i use in in my outside carport So i can  work on my snowblower or generator when its cold i have no other place to do this i put up a plastic sheet at the opening of the carport which is still well ventilated so it works good but takes more time since its not a garage but for now i can keep warm while i work  I am glad i got it. ']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",F242540,,Steel,"Tank Top, Space Heater",F242540,Mr Heater Corp,,,Multicolor,,0089301000629,,,,,,,,0089301000629,Propane,11.000,,,Switch,Radiant,"8.9 in, 8.9in.",45000BTU,,,15.900,,3,,Small,Outdoor,Radiant,Quite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FOSTORIA 630-16209 Elc Infrd Htr Tblr Elmnt,3/8""x19-11/16""",101.76, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",630-16209,,,Infrared Heater Elements,630-16209,FOSTORIA,208VAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
