Title,Price,Sold,Reviews,Condition,Heating Element Format,Model,Country/Region of Manufacture,Custom Bundle,Item Depth,Item Width,Smart Home Compatibility,Material,Energy Star,Tank Capacity,Power Source,Type,Features,Smart Home Protocol,Timer Control,Color,Year Manufactured,Operating Sound Rating,Energy Efficiency Ratio (EER),Mounting Location,Item Length,Number of Heat Settings,Area Covered,Power,BTU Heating Rating,Brand,Manufacturer Warranty,Control Style,Heating Element Material,EC Range,Heating System,Annual Fuel Utilization Efficiency (AFUE),Voltage,Colour,Modified Item,Style,Room,MPN,EAN,Heating Technology,Power (W),UPC,Mounting & Moving,Model No.,Dimensions,Weight,Energy Efficiency Rating,Air Direction,Tonnage,Country of Origin,Size,Current Rating,Cable Length,Manufacturer Part Number,Type 1,Item Height,Item Dimensions,Colormap,Product Type,Power Supply Indicator Light,Approx Size,Package Contents,Heat technology:,Size:,Power:,Lead length:,Material:,Bundle Description,Customized,Item Weight,Modification Description,Motorized,Personalized,Energy Rating,Perfermance 2,Product Name,Temperature,Application,Cover material,Lead wire,Perfermance 1,Location,Bundle Listing,Unit Quantity,Unit Type,Cool Fan Setting,Heater Style,Width,Height,Resistance Properties,Non-Domestic Product,Depth,ISBN,Heating Material,Shell Material,Max. Power,Surface Dry Heating Temperature,Rated Power
Vornado Velocity 3 Adjustable Thermostat 1500W Space Heater - Black, , , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,Vornado Velocity 3,,,,,,,,,Electric,Portable Heater,,,,Black,,,,,,3,,1001-1500 W,,Vornado,,Dial,,,Forced Air/Fan,,,,,,,EH1-0159-06,,,,043765014516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500W Portable Electric Space Heater Fan Forced Adjustable Thermostat 3 Settings,17.98,70 sold,"['It had a broken piece on the back side, but it was a quick fix and the product is very good after all. ', 'Quiet and very warm, easy to operate and dependable.', 'This heater does a good job.', 'Awesome quality!', 'Is the best deal.', ""It's noisy.""]","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,CZ449,,,,6.800,,Ceramic,,,Fan,Fan Heater,Oscillating,,,Silver,,Space Heater,,,8.300,2,,1500W,,comfort zone,,Switch,,,,,,,,,,CZ449,,,,0720189167249,,,,,,,17 x 6 x 4 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portable Electric Space Heater Super Quiet Oscillating Heater Fan Thermostat,23.99,102 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,Electric,Portable Heater,Oscillation,,,Black,,,,Floor,,,,,,EconoHome,,,,,Infrared,,110 V,,,,,,,,,850014890933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portable Electric 1500W Space Heater PTC Fast Heating Indoor Ceramic Oscillating,39.99,64 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Coil,PE-HE006,United States,No,,,,Ceramic,5 Stars,,Electric,Tower Heater,"Adjustable, Thermostat, Overheat Protection, Indoor, Tip-Over, Fan, ECO, Oscillation, Timer, Auto Shut-off",Infrared,12 hrs,Black,2021,11-20 dB,,Free Standing,,3,Whole Room,1001-1500 W,,PARIS RHÔNE,2 Years,"Digital, Remote Control",ceramic,A+++ - D,Ceramic,,120 V,,,,,PE-HE006,,,,,,,,,,8-Way,,United State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500W Electric Portable Infrared 4 Element Quartz Space Heater Remote Black 2020,55.99,46 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,Electric,,,,,Black,,,,,,,,,5118,ZOKOP,,Remote Control,,,,,,,,,,Does not apply,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Insert Heater Embedded Fireplace Glass View Log Flame Timer w/ Remote,179.99,64 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,Insert Heater,,,,,,"Metal, Tempered Glass, Resin, ABS",,,Electric,Insert Electric Heater,Timer,,,Black,,,,,,,,,,Onebigoutlet,,,,,,,120 V,,,,,050-HA-50100,,,,Does not apply,,,,,,,,,1400W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Outdoor Patio Heater, Luwior 1500W Electric Infrared Heater LWIH001 New", ,5 watchers, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,LWIH001,,,,,,,,,Electric,Outdoor Heater,,,,,,,,,,,,,,Luwior,,,,,,,,,,,,,,,,Does Not Apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mainstays 1500W Watt Mechanical Oil Filled Electric Radiator White Heater,29.99, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,AEG WKL 1003 S,,,N/A,14 in,,Steel,10 Stars,1 gal or Less (5 L),Electric,Portable Oil Filled Radiator,N/A,,,White,2020,None,3 or Less,Floor,N/A,3,100 sq ft or Less,1001-1500 W,Less Than 2000 BTU,Mainstays,,Analog/Mechanical,Steel,,Radiant,Less Than 80%,120 V,,,,,WSH07O2AWW,,,,810004819313,,,,,,,,,,10.1-15 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Space Fast Heater Fan Portable Home Office Adjustable Thermostat 1500W ,23.99,196 sold,"['Awesome heater Great looks great features love it', 'it works good for the price ,the fan could be a little stronger', 'great product good for small room', 'This  Electric Space is Good for small space -', 'Good thanks ', 'Fan is not powerful enough', 'Awesome thank you ']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,NFJ-001,,,,,,"Ceramic, ABS",,,"Electric, Fan",Portable Heater,"Thermostat, Overheat Protection, Tip Over Protection, Portable Handle, Safe and Quiet",,,White,,Quiet,,"Desk/Tabletop, Floor",,,101-150 sq ft,750-1500W,,ICLOVER,,Switch,Ceramic,,PTC Ceramic Heating Tech,,220 V,,,,,,,,,637801548709,,,,3.4lb,,,,,,,1.3m Power Cord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zokop 22"" Infrared Electric Fireplace Space Heater 1500W Knob Control",58.95,24 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,Electric,,,Infrared,,Black,,,,,,,,,5118,ZOKOP,,,,,,,,,,,,Does not apply,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Handy Heater Pure Warmth,30.0, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,,,,,,,,,,,,,,,,Handy Heater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smudge Pot Direct Smudge Pot Outdoor Heater NEW Fast Free Shipping,349.0,25 watchers, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,Diesel,,,,,,,,,,,,,,,Smudge Pot Direct,,,,,,,,,,,,,,,,00195893283729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Space Heater 30,000 BTU Ventless Dual Fuel Infrared Plaque With Base and Blower",206.99,Last item available, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,140326,,,,,,,,,,,,,,,,,,,,,,,,HearthSense,,,,,,,,,,,,140326,0848660005566,,,0848660005566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heller 2000W Portable Indoor/Outdoor Electric Patio Heater/Floor Pedestal,93.0,47 sold, ,New,,HPH2000,,,,,,,,,Electric,,Portable,,,,,,,,,,,2000W,,HELLER,,,,,,,,,,,,HPH2000,9312737099372,,,9312737099372,,,,,,,,,,,,HPH2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brand New Honeywell Heatbud Low Wattage 250W Ceramic Personal Heater,24.0, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,Ceramic,,,,,,,,,,,,,,,,,,Honeywell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mainstays DQ1723-W Mini Ceramic 250 W Electric Space Heater - White,16.99, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,Ceramic,,,Electric,,,,,White,2018,,,"Desk/Tabletop, Cabinet",,1,,201-300 W,,Mainstays,,"Switch, Push Button, Analog/Mechanical",,,Forced Air/Fan,,120 V,,,,,DQ1723W,,,,0819079020884,,,,,,1-Way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warm 1400W Portable Electric Fireplace Heater Log Flame Stove Free Standing US,,183 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,,,,,,,,,,,,,,,,Zokop,,,,,,,,,,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,500-Watt Oil-Filled Radiant Electric Space Heater with Thermostat",50.37,22 sold,"['Love this heater. Plenty of heat, easy to move around, good looking. Price cant be beat. Fast ship. Live in Maine, use it in 8 x 8 greenhouse.  Replaced old unit. Keeps  my veggie seedlings happy when its freezing  outside. The oil in heater retains heat,even when it thermostat is satisfied. Very happy with purchase. G', 'Simple to operate with just the two knobs, Easily to transport on wheels from place to place inside the residence, and heats up well for an open area of space. g', 'Mich safer than what I was using, thanks', 'Very good product', 'Liked the first one, so I purchased another. ', 'I had it for two days and it stopped working ', 'Works wonderful.', 'It is in good value.']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,HO-0279,,,,,,"Metal, Cast Metal",,,Electric,"Electric Portable Heater, Space Heater","Thermostat, Wheels, Heater, Auto Shut Off, Automatic Shutoff, Indoor, Handle",,,Black,,,,Floor,,3,"300 sq ft or more, Under 150 sq ft",1500 W,,Intertek,1 year,Switch,,,Radiant,,120 V,,,,,HO-0279,Does not apply,,,0810004813496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
