Title,Price,Sold,Reviews,Condition,Brand,Type,Features,Power (W),MPN,EAN,Heating Element Format,Model,Colour,Control Type,Custom Bundle,Location,Manufacturer Colour,Modified Item,Width,Size,UPC,Non-Domestic Product,Material,Power Source,Mounting Location,Number of Heat Settings,Area Covered,Power,Control Style,Heating Element Material,Height,Depth,Heating System,Voltage,Color,Assembled Product Dimensions (L x W x H),Power Type,Manufacturer Part Number,Recommended Location,Assembled Product Weight,Manufacturer,ISBN,Timer Control,Item Length,Smart Home Protocol,Item Width,Bundle Listing,Unit Quantity,Unit Type,Bundle Description,Country/Region of Manufacture,Customized,Item Weight,Modification Description,Motorized,Personalized,Cable Length,Year Manufactured,Design,Voltage Supply,Item Depth,Operating Sound Rating,Annual Fuel Utilization Efficiency (AFUE),Air Direction,Number of Cool Speeds,Heating Technology,BTU Heating Rating,Room Coverage Area,Energy Star,Tank Capacity,Energy Efficiency Ratio (EER),Style,Noise Level,Manufacturer Color,OutOfStockControl,Item Height,Prop65_fl,Prop65Warning,Current Rating,Manufacturer Warranty,Connectivity,Product Weight (lb.),Power/Fuel Type,Product Width (in.),Indoor/Outdoor,Amperage (amps),Room Size,Portable Heater Features,Product Depth (in.),Area Heated (Sq. Ft.),Wattage (watts),Heater Type,Product Height (in.),Portable Heater Safety Features,Cord Length (in.),Voltage (volts),Heater Controls,Smart Home Compatibility,Heating Method,Item Dimensions LxWxH,Assembled Height (Inches),Use Location,Current Rating (Amps),Lowe's Exclusive,Energy Saving Setting,Thermostat,Warranty,EC Range,Manufacturer Color/Finish,Anti-Freeze Setting,Remote Control Included,Portable,Timer,Package Quantity,Series Name,CA Residents: Prop 65 Warning(s),Suitable for Safe Rooms,Wattage,Application,Certifications,Clearance,Heating Wattage,Maintained Operational Temperature,Recommended Environment,Remote Control,Compressive strength,Power deviation,Cable length,Product Name,Thickness,Shipping,Heat Output,Country of Origin,Compatible Brand,Voltage / Wattage / Amperage,Poultry Species,Hatching Egg Breed,Built In Thermostat,Clearance to Combustible Materials,Product Color / Weight,Product Dimensions,Programmable Timer,Remote Control / In-Cord Switch,RESTOCK FEE,Heating BTU,Tonnage,Product Width (in),Cord Length (in),Area Heated (Sq Ft),Heat rating (BTU/hour),Pack Size,Product Height (in),Color Family,globalTradeItemNumber (GTIN),Product Weight (lb),Certifications and Listings,Product Depth (in),Power consumption,Product weight,Heater type,Fins width,Package includes,Oil volume,Power supply,Indoor/outdoor,Item model number,Warranty Description,Department,Finish Types,Number of Pieces,Volume,Is Discontinued By Manufacturer,Batteries Required,Import Designation,item_length,item_width,Accessory Type,Use,Price,Seller,Returns,Service,Satisfaction,USA Shipping,Customer service,Shipping Exclusions,Topic,Language,Age Level,Refrigerant,PackQty,Compressor Type,style,Heater Style,Date Made,Dimensions,Features 1,Features 2,Source,2 heat settings,Carry Handle,Mount Location,Product Length (in),Bulb Type,Number of Elements,Energy Rating,manufacturer_part_number,Origin,Certification,Model Number,Insulation,Pattern Name,Battery Capacity,Battery Life,Weight,Length,Number of Batteries,Battery Size,Battery Included,Motor Type,SKU,StoreCategoryID,Output Power,Gift,Hight,UPC/GTIN Code,Mor Electric Heating SKU,Assembly Required,Firmness,Mount Type,Number of Items in Set,Product,Set Includes,Binding,Studio,Publisher,ProductTypeName,ProductGroup,PackageQuantity,NumberOfItems,Label,Model No.,Application/Usage,Area Coverage,Form Factor,Heating Element,Input Current,Input Voltage,Maximum Heat Power,Oscillation,Power Consumption,Product Model,Product Type,Weight (Approximate),Time Control,Room,Contents of the package,Rated power,Direction adjustment,Power cord length,brand name,Heating method,Overall Height,Overall Width,Heating Element Type,Cord Length,Plug Type,UL Listing,Minimum Heat Power,Baseboard Heating Type,Hydronic,Heating Technology Type,Vented,Heating Product Type,Home Decor Style,Price Per Unit UOM,Fuel Type,Count Per Pack,Country of Origin - Textiles,Finish,Is Portable,Count,Age Group,Color Category,Contained Battery Type,Recommended Use,PPU Quantity of Units,Piece Count,"Cleaning, Care & Maintenance",Shape,Maximum Room Size,Power Options
Lasko Ceramic Heater,, , ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",Lasko,Portable Heater,,,,,,Lasko 758000,,,,,,,,,,,Ceramic,Electric,,,,,Push Button,,,,,,Gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bladeless 1500-Watt Electric Ceramic Digital Oscillating Space Heater w/ Remote,74.0, ,"['The slim design takes up little space, it puts out heat very quickly and the remote control is a great feature!', 'After doing a lot of research I chose this heater because it had reviews from others saying it heated large rooms. I have an open kitchen to LR and it does heat up both so much that I have to run on low I get to hot. My previous heater was also a lasko. But the difference with this one is it heats the air not objects in the room. I would buy another. Differences are infared heats objects in room convection heats the air. ', 'I thought by it being blameless it would be silent operation but it is a little noisy. Otherwise nice design.', '   I have been using this heater for about ten days and it still emits a very strong unpleasant smell when turned on. It lasts about twenty min into the use of it. I WILL be returning it as I can no longer tolerate the smell as it makes both me and my wife nauseous. ', 'works great']","Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",Lasko,Portable Heater,"Auto Shut-off, Timer, Oscillation",,AW315,0046013776358,Coil,Lasko AW315,,,,,,,,,0046013776358,,Ceramic,Electric,Floor,2,,1001-1500 W,"Remote Control, Digital, Touch",Brass,,,Convection,120 V,"Gray, Black",,,,,,,,8 hrs,8.1 in,,10.8 in,,,,,,,,,,,,,,,,None,,,,,Less Than 2000 BTU,,,1 gal or Less (5 L),3 or Less,,,,,,,,,,,9.8,Electric,8.1,Indoor,12.5,Medium,"Digital Display,Oscillating,Remote",9.16,300,1500,Bladeless,27.17,"Cool-to-the-Touch,Nonslip Base",72,120,Electronic,ADT Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dreo Space Heater – 70°Oscillating Portable Heater with Thermostat, 1500W PTC Ce",72.58, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Does not apply,Does not apply,,,,0313053953910,,,,,,,,,,,313053953910,,,Alternating Current,,,,,,,,,,,Black,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Forced Air,5.51 x 6.69 x 10.31 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vintage PRESTO Forced Air Heater with Dual Heat Control Space Heater,72.99, , ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",Presto,Portable Heater,,,,,,,,,,,,,,,,,,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400W EconoHome Wall Mount Space Heater Panel & Heat Guard Cover,74.0,Last item available, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",EconoHome,Portable Heater,Auto Shut-off,,651162310,,Coil,651162310,,,No,,,,,400W Deluxe Model with Heat Guard,766239682140,,Wood,Electric,Wall,5 or More,251-300 sq ft,Less Than 10 W,Analog/Mechanical,Brass,,,Forced Air/Fan,110 V,400W - 120 Sq. Ft. Room,,,,,,,,24 hrs,,,,,,,,,,,,,,,2020,,,,None,Less Than 80%,3-Way,,,Less Than 2000 BTU,,A+++,,3 or Less,,,,,,,,10.1-15 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utilitech 1500-Watt Oil-filled Radiant Tower Electric Space Heater 0689360,, , ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",Utilitech,Portable Heater,na,,,,na,na,,,,,,,,,,,na,Electric,na,na,na,na,na,na,,,na,na,na,,,,,,,,,na,,na,,,,,,,,,,,,,Tower,,na,na,na,,,,na,,3 Stars,na,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.76,Indoor,7,Yes,No,Yes,1-year limited,A+++ - D,Black,No,No,No,No,1,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW Duraheat TT-360 360 Degree Propane LP Tank Top Heater w Variable Heat ,74.95,50 sold,"['This heater works wonderfully.  Love it.  Could not get it to start at first set on low but starts very easily when set on medium.  Puts out good lateral heat, so it works well to gather around it,   Other heaters I considered, most of the heat goes strait up into the air.  ', ""Just got this and tried it twice this afternoon. I do not have the nerve to try it again. It assembles to the tank easily. Lights easily and burns for about three minutes on low just perfectly. Then you hear a small roaring sound that last for another 60 seconds, the BAM. Sounds like a small explosion. I think I might sit it out in the middle of my back yard and see what happens if I don't jump to shut it down immediately like I did twice today. Looks like a Chinese bomb to me. "", ""Mount is not strong.  It works but I think more heat goes up in warm air than is radiated.  Heaters with metal radiators don't work as well as ones with ceramic elements."", 'The best type of heater for your patio or deck. 360 degree heat area. Low setting is always plenty. Parts are easy to find. ', ""Love it!  We have quite a few propane tanks hanging around, so all we needed to do was get this and put it on top.  Heats up quickly.  We hang out outside and use this to keep warm.  We have the tall propane heater as well, but this one is lower and heats your midsection.  At this price, it's a great bargain!"", ""Works great. The only thing is I couldn't light it through the hole and just directly on the burner works well."", 'This space heater does the job I need it to do.  Heat output is very adequate.  3 heat settings on an easy to read dial.  Assembly was easy.  Attaching it to the tank was easy.  Heat output is straight up in a fairly narrow column, so I made a metal spreader that sits on top to widen the heat plume.', 'TT-360 Duraheat works awesome, easy light (match), 3 settings and plenty of heat for my work area. (20’x20’)', 'Good value considering size and price of unit. Easily hooks up to 20lb tank. Easy to light. Stays lit. I made mistake of lighting it in the bedroom. It did put some fumes off that made me nauseous. It’s not labeled for indoor use. ', 'works great. we will see what happens when winter is done. PS should offer heat shield for one side that is removeable.']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",DuraHeat,Portable Heater,,,TT360,0013204203603,Coil,Dura Heat TT-360,,,,,,,,,0013204203603,,,Propane,Floor,3,,,"Analog/Mechanical, Switch",Brass,,,Radiant,Not Electric,Silver,,,,,,,,,,Infrared,,,,,,,,,,,,,,,,,None,Less Than 80%,,,,30000-39999 BTU,,,11-20 gal (39-76 L),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasko 5586  Electric 1500W Room Oscillating Ceramic Tower Space Heater w/ Remote,74.95, ,"['Very nice heater!  It oscillates back and forth and keeps a pretty constant temperature in a medium sized space.  The remote works well and I am happy with this purchase', 'This little ceramic heater is wonderful!  It is loaded with features including oscillating and has a remote control with it.  It works like a charm very quietly and automatically according to the thermostat control.  I highly recommend this space heater!', ""My office is in the lower level of the house which is naturally colder than the rest of my home. Rather than heat up the whole house to warm this one room this Lasko heater does a terrfic job of keeping me comfortable even on the coldest days.It's quiet, efficient, and just does the job."", 'heats up a room quickly and quietly.... well made verses the earlier models..', 'Took for ever to warm a sun room of 10 x 12, than it didnt even bring it up to 70 degrees, was on most of the day. .  heat output was not that good. Will never purchase anyone. Price was way to much for the quality of how well it worked.', ""Couldn't find a more inexpensive excellent quality space heater. Just ordered another!"", 'Solid model. Quiet does the job well. Worth the buy.', 'Good products. Thanks.', 'I received mine in the mail turned it on only lasted one day and stopped working. Do not recommend this product at all to anyone']","Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",Lasko,Ceramic,Timer,,5586,,,5586,,,,Bedroom,,,,,0024070570416,,Ceramic,Electric,,2,,,"Digital, Touch, Remote Control",,,,Convection,120 V,Gray,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cozy Legs Radiant Heater Flat Panel Black 200 Watt 110 VAC New Improved,75.00,30-day returns,"['I bought this to keep my dog warm in her Dogglue.   Most heated dog mats look and feel flimsy...hardly the type of thing that will survive daily use.  In addition few are water proof.  I put this under a rug and my dog loves it.  Top of rug just warm.   It is on its second winter of use now and seems just like new.', 'This will not keep your legs warm. Poorly engineered so it is annoying to move around, even slightly. Needs twice the wattage to be of any use whatsoever. Mine arrived so poorly packaged that the box was opened on one end and the fixtures were strewn around my front door. That is a packaging, not a shipping problem.', 'This unit may be good for a small enclosed area such as under a desk. It has no value what so ever for any other purpose, as far as I can tell.  The surface gets very warm but no heat is felt further that about 5"" away.The claim that it uses 1/10 the power of regular space heaters is true.  On the other hand it gives off about 1/20 of the heat.Just be aware, before you buy, that it is not a space heater. If your legs were under a small desk or in a box, it may have some value. I would not recommend it for ANY other application or anything for that matter!  Forget about it.', ""This doesn't put out fabulous amounts of heat.  It does work to keep my feet warm, but the effect is extremely subtle.  One minor niggle is that the power switch is several feet down the power cord from the unit.  It would be more convenient if the power switch was ON the unit.  I would buy this unit again."", 'I bought this vertical leg heater for my wife who spends a lot of time on a laptop. It is positioned under a bench type seat and heats from behind her legs. This removes the chill from her legs and feet quickly. This radiant heat is much better and safer than a space heater in my opinion.', 'I put one between an outside wall and my home-made desk, which is open-sided. After it warmed up the difference was noticeable. The space under the desk gets quite cozy, especially on the side that used to be coldest.. This is much better than using a free-standing heater that can be kicked over.', 'it was junk , had to return it.', ""They barely warm up. Didn't get the job done for me."", ""This radiant heater is perfect for what we're using it for - making the chickens in the coop comfortable at night! Not it's approved use, but it works very well.""]","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Cozy,Flat Panel,Thermostat,,BIRJ9,,,Cozy Products CL-2,,,,,,,,,0706069235215,,Steel,Electric,Wall,1,Under 150 sq ft,101-200 W,Switch,,12.01”,,Radiant,120 V,"Beige, Blue, Black",,,,,,,,None,"18.98""",,"18.98""",,,,,,,,,,,,2018,,,"0.63""",None,,,,,,,,,,Modern,,Black,,,,,,6 Months,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, Authorized Dealer, manufacturer’s warranty",,,,,,,,,,Yes,200 Watts,Personel Space Heatre,ETL /  Zero-Clearance / TÜV,No Clearance Required,200 Watts,Approximately 130°,Indoor,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LifeSmart 1100 W Portable Electric Infrared Quartz Stove Heater for Indoor Use,72.99,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",LifeSmart,Portable Heater,,,YH-20-2,817223018909,,YH-20-2,,,,,,,,,817223018909,,,Electric,,2,medium-sized rooms,,,,21.65 in,,,,Black,,,,,,,,,18.35 in,,11.65 in,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"550 and 1,100 Watts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vornado® Velocity 3R Digital Whole Room Vortex Heater Black**Read**,72.5, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Vornado,,,,,,,,,,,,,,,,043765015247,,,,,,,,Digital,,,,,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ultra 1500-Watt Electric Ceramic Fireplace Portable Space Heater by Lasko,74.85, , ,,Lasko,Portable Heater,"Timer, Auto Shut-off",,CA20100,0046013769343,Coil,,,,,,,,,,0046013769343,,Ceramic,"Electric, Battery","Floor, Cabinet, Window",1,100 sq ft or Less,1001-1500 W,"Dial, Touch, Remote Control, Push Button, Digital",Brass,,,Convection,120 V,Black,,,,,,,,,,,,,,,,,,,,,,72 in,2000,,,,Standard,Less Than 80%,1-Way,,,Less Than 2000 BTU,,,,4.1-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pelonis Disc Furnace Portable Space Heater Honeycomb Ceramic P-861-TC/VHC EUC,75.0, , ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",Pelonis,Portable Heater,,,P-861-TC/VHC,,Ceramic,Portable Space Heater Honeycomb Ceramic,,,,,,,,,,,"Ceramic, Steel",Electric,"Baseboard, Desk/Tabletop, Floor, Window",Variable,551-600 sq ft,1001-1500 W,"Analog/Mechanical, Rotary Knob",Ceramic,,,Furnace,120 V,Brown,,,,,,,,,"7""",,"6""",,,,,,,,,,,,,,,"5""",None,,,,,Less Than 2000 BTU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heating Pad Heater With Controller Thermal Tool 1200W 110V/220V Electric,73.72,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Unbranded,,,,Does Not Apply,,,Heating Pad,,,,,,,,,,,Silicone rubber,,,,,1200W,,,,,,,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500v / 5s,± 8%,200 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lasko 5919 Pro Portable Electric 1500W Ceramic Utility Room Space Heater, Silver",70.77,34 sold,"[""I don't like unnecessary safety features &amp; this fan/heater doesn't have any ..It's versatile and economic. And the modern style fit's in great with my decor.."", 'This is a fantastic space heater... super quiet and amazing...', ""This is a really nice portable heater. Very easy to use. Our garage is the man cave, so there is no overall heat in this part of the house. This portable heater keeps me warm when I sit out there with him. We live in Florida so we don't need heat very often, so this is great. Compact enough to store easily on a shelf when not in use. I love it!! Fast delivery, good price, no problems."", 'Works very well.  Have had great luck with Lasko products.', 'I have a small area to heat so low heat is all i need. This heater is built well, the problem is it works on low only. On high the circuit breaker quickly kicks in &amp; shuts it down. Then you have to unplug the unit until it cools down. On low it will run all day.', ""This is the third one of these I have bought. They are great for a small ( maybe 200 to 250 sq ft ) space. I use it in my den when watching TV or working on the computer because it is reasonably quiet and puts out a lot of heat for its' size."", 'Works good for the price. Provides adequate heat for a small room. However I purchased a smaller unit that was less expensive that also did the same thing.', ""Using this in a 14x16 room and it heats room up in 32 degree weather outside even on low fan, setting temp on medium.  First night i had it on high and woke up sweating, had to turn it down. I am very pleased with this heater yes indeed. Seems well built and i can't see any reason that it will not last. Will be acquiring  another asap!"", 'I have bought 4 of these units, 3 of which are non operational, 1 overheats and shuts down, 1 has a defective blower motor,#3 the cord gets so hot it melted the plug at the end of the power cord, you judge for yourself', ""It has no blowing power at all, it looks good nothing. The setting for operation is ridiculous for my needs and say you had a room to warm up 20x15.,! You'll be waiting a long long time. Even a bathroom. I needed to operate for 24 hours but was afraid it might start a fire. ""]","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Lasko,Ceramic,Portable,,5919,0046013766816,Coil,5919,,,No,,,No,11 in,,0046013766816,,,Electric,,,951-1000 sq ft,1001-1500 W,"Remote Control, Push Button",,11 in,,,,Black,,,,,,,,,11 in,,8.5 in,,,,No,Unknown,,,No,,,,,,,,,,1-Way,,,,1000 to 1249 sq ft,,,,Modern,,Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VINTAGE RETRO! 1979 Portable Titan RT26 Electric Space Heater NEW OPEN Faux Wood,75.0, , ,"Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",Titan,Portable Heater,"Portable, Auto Shut-Off",1000-1499 W,Does Not Apply,,Ribbon,RT40A,,,,,,,,,Does not apply,,"Aluminum, Steel",Electric,Floor,Variable,,1001-1500 W,"Analog/Mechanical, Push Button, Rotary Knob",,13”,8 inches,Radiant,120 V,Faux Wood Grain,,,,,,,,,,,17 “,,,,,United States,,,,,,,1979,,,10.5” Including Feet,,,,,,5000-5999 BTU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VornadoBaby Sensa Nursery Heater w/ Crib Sensor Remote,75.0, , ,"Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",vornadobaby,Space Heaters,,,EH1-0138-43,,,,,,,,,,,,043765012604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
