Title,Price,Sold,Reviews,Condition,Model,Colour,Material,Power Source,Type,Features,MPN,Mounting Location,Number of Heat Settings,Power,Brand,Control Style,Heating Technology,Power (W),Heating System,Voltage,UPC,Heating Element Format,Country/Region of Manufacture,Custom Bundle,Item Depth,Item Width,Energy Efficiency Rating,Tank Capacity,Cable Length,Energy Efficiency Ratio (EER),Operating Sound Rating,Item Length,BTU Heating Rating,Manufacturer Warranty,Heating Element Material,EC Range,Annual Fuel Utilization Efficiency (AFUE),EAN,Area Covered,Color,Location,ISBN,Energy Star,Manufacturer,Manufacturer Part Number,Package Contents,Year Manufactured,Air Direction,Room,Smart Home Protocol,Level of noise,Supply supply,Depth,Area,Finish,Levels of power,Power maximum,Source of supply,Background,Capacity cooling,No. programs,Height,Timer Control,Style,Heater Style,Unit Quantity,Design,Actual Color,Power Type,Recommended Location,Non-Domestic Product,Smart Home Compatibility,Dimensions,OE/OEM Part Number,Universal Fitment,Performance Part,Placement on Vehicle,Weight,Size,Power supply,Product Name,Temperature,Application,Cover material,Lead wire,Perfermance 1,Perfermance 2,Number of Cool Speeds,Current Rating,Compressor Type,Use,Certification,Electric Heater Type,Heating Element,Installation,Origin,Heating Wire Material,Time Setting,Applicable Area,PLUG,ProductType,Prop65_fl,Item Height,Item Weight,Prop65Warning,Heating Wattage,Manufacturer Color,GTIN,The size of a single outer box,Uses,Country of Origin,Country Of Origin,Ceramic L Block 2 Wire,Unit Type,Refrigerant,Product Type,Product size,Operation Method,Bundle Listing,Technology,Wind Type,Usage,Controlling Mode,Fan Speed,Rotation Way,Air Supply Mode,Tonnage,MYNICODE,Recommended Environment,Temperature Tolerance,Wire Length,Applications 2,Applications 3,Function 1,Function 2,Connectivity,Shipping Weight,Dimension(L*W*H),Insulation,Item model number,Part Number,Batteries Required?,Item Package Quantity,Product Dimensions,Warranty Description,Batteries Included?,Number Of Pieces,Is Discontinued By Manufacturer,Included Components,Region Code,Modified Item,Assembled Product Weight,manufacturer_part_number,Assembled Product Dimensions (L x W x H),Cosmetic Condition,Package Condition,Functionality Check I,Functionality Check II,Product Size,Plug Type,Programmable Timer,Air Volume,Idle Speed of Fan,Frequency,Heater Type,Advantage,Range,Normal temperature resistance,Shipping,Tracking,Handling time,Customer Service,Wattage,Model Number,Number Of Speed Settings,Area Heated,Voltage (v),Function,Item Name,Heater,Plugs,Control,Suitable For,Winter Hand Warmer,Air Blower,Heater For Home,Winter Warm Items,Wall Heater,Heater Electrics,Mini Warmer,Fan Heater,Home Heater,Warm Air Mcahine,Christmas Gift,Ceramic Heating Element,TAX or VAT,Corrugation Length,Heating material,Mounting & Moving,Country of Manufacture
"🔥New Pelonis 1500W 3-Speed Electric Fan-Forced Space Heater, PSH08F1ABB, Black",29.99, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",AEG WKL 1003 S,,Aluminum,"Electric, Fan",Baseboard Heater,Auto Shut-off,Does not apply,Baseboard,4,Less Than 10 W,Pelonis,Switch,,,Boiler,12 V,7.50545E+11,Coil,,,,,,,,,,,Less Than 2000 BTU,,Brass,,100%,Does not apply,100 sq ft or Less,Black,,Does not apply,A,Midea,PSH08F1ABB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pelonis 1500W 3-Speed Electric Fan-Forced Space Heater, PSH08F1ABB, Black",,Last item available, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",AEG WKL 1003 S,,Aluminum,"Electric, Fan",Baseboard Heater,Auto Shut-off,Does not apply,Baseboard,4,Less Than 10 W,Pelonis,Switch,,,Boiler,12 V,7.50545E+11,Coil,,,,,,,,,,,Less Than 2000 BTU,,Brass,,100%,Does not apply,100 sq ft or Less,Black,,Does not apply,A,Midea,PSH08F1ABB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Handy Heater 3 adjustable speeds and tip-over safety function  5.7""Lx5.8""Dx6.5""H",29.99, , ,"Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",na,,Ceramic,Electric,Portable Heater,na,na,Floor,misc,201-300 W,na,Switch,,,Forced Air/Fan,120 V,7.35541E+11,na,,,na,"5.7""Lx5.8""Dx6.5""H",,1 gal or Less (5 L),,na,na,"5.7""Lx5.8""Dx6.5""H",2000-2999 BTU,,na,A+ - G,Less Than 80%,,101-150 sq ft,Black,,,A+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric 110V PTC Ceramic Air Heater Element Thermostatic Lead Wire Temperature ,,Free shipping and returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",4511375284,,Ceramic,Electric,Electric Heater Parts,"Auto Shut-off, Timer",4511375303,"Desk/Tabletop, Window",1,300W,Unbranded,Digital,,,Forced Air/Fan,110 V,3.54483E+11,Strip,China,No,6 in,See picture,,1 gal or Less (5 L),See picture,None,None,See picture,Less Than 2000 BTU,Other: See Item Description,PTC Thermistor,A+++ - D,None,,None,Multicolor,,,A+,,,,2021,,,Clear Connect,,,,,,,,,,,,,None,,,,,,,,,Amazon Alexa,,,,,,,,,,,,,,,,,Less Than 5 A,,,,,,,,,,,,,,,,,,,,,,,,,,R-11,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HONEYWELL 1500 WATT FAN FORCED HEATER / SURROUND HEAT / MODEL HZ2200,29.99, ,"[""Great heater and is compact in size. 2 heats entire house with little propane use. Fully functional in safety ratings, turns off when tipped over slightly. Safe for use around small kids, since outter surface doesn't get hot to touch. Decided to buy another one, since last winter it was such a big help on fuel bills. Purchased second one as gift.No dislikes with heater. All 100% satisfied."", 'real good quality heat to keep your back warm when laying in the chair watching tv when the weather is cold on the outside and warm on in the inside!', 'This is a pretty good little heater and I am happy with the purchase.  It is quiet and works well for a heater in my bathroom for temporary heat.  I have not used it as a regular supplement for home heat.  Rate as good plus for my use.', 'It is a very efficient heater and warms the bedroom without having to heat the whole house. I wanted to give to a friend as a present but when I got it I  took an instant to it and decided to keep it for myself. The only problem is it keeps on going on and off too often. I think if they allowed a sort of delay on the thermostat, it would stay on and off for longer times especially during the night.', ""It may be small..but,don't let it's size fool you.This heater can carry it's own weight.My daughter is very happy with this item.Would buy again."", ""super, super item.... great size for just the little places... package a punch in heat....  you won't be disappointed."", ""the one I got works as stated...but if that is 1500 watts...lets say it would take about a million watts to heat my living room or family room. It may warm up the broom closet.lol I was not over expecting but got about 20% of what I needed... but it's purrrdy"", ""This Honeywell HZ2200 Heater is great. I'm very please. I was lucky to find the Honeywell HZ2200 Heater on ebay and I am very satisfy.ThanksCindy"", 'Decent heater, it was either too hot or not hot enough. There was no ""in between"". Crapped out after 4 months of use. I wouldn\'t recommend it']",,Honeywell HZ-2200,,Plastic,"Electric, Fan",Portable Heater,,Does Not Apply,"Desk/Tabletop, Floor",2,1500 Watt,Honeywell,Dial,,,Forced Air/Fan,120 V,,,,,See Photos,,,,,,,See Photos,,,,,,,,White and Blue,,,A+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Handy Heater Turbo 800 Ceramic Heating Wall-Outlet Space Heater Digital LED Disp,26.49, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",N/A,,Ceramic,Electric,Portable Heater,Auto Shut-off,Does Not Apply,Wall,Variable,701-800 W,Handy Heater,Digital,,,Forced Air/Fan,120 V,7.35541E+11,N/A,,,4.5 in,5.75 in,,N/A,,N/A,N/A,N/A,,,Ceramic,A+++ - G,100%,,201-250 sq ft,Black,,,A++,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Handy Heater Turbo 800 Ceramic Heating Wall-Outlet Space Heater Digital LED,25, , ,"Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",N/A,,Ceramic,Electric,Portable Heater,Auto Shut-off,Does Not Apply,Wall,Variable,301-400 W,Handy Heater,Digital,,,Forced Air/Fan,120 V,7.35541E+11,N/A,,,4.5 in,5.75 in,,N/A,,N/A,N/A,N/A,2000-2999 BTU,,Ceramic,A+++ - G,100%,,201-250 sq ft,Black,,,A++,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Handy Heater Turbo 800 Ceramic Heating Wall-Outlet Space Heater Digital LED,27.95, , ,"Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",N/A,,Ceramic,Electric,Portable Heater,Auto Shut-off,Does Not Apply,Wall,Variable,301-400 W,Handy Heater,Digital,,,Forced Air/Fan,120 V,7.35541E+11,N/A,,,4.5 in,5.75 in,,N/A,,N/A,N/A,N/A,2000-2999 BTU,,Ceramic,A+++ - G,100%,,201-250 sq ft,Black,,,A++,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220V PTC Ceramic Air Heater Constant High Temperature Thermistor Heating Element,,Free shipping and returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",3906265104,,Ceramic,Electric,Electric Heater Parts,"Auto Shut-off, Timer",3906265126,"Desk/Tabletop, Window",1,800W,Unbranded,"App Control, Digital",,,Heat Pump,220 V,3.54483E+11,Strip,China,No,6 in,See picture,,1 gal or Less (5 L),See picture,None,11-20 dB,See picture,Less Than 2000 BTU,Other: See Item Description,PTC Thermistor,,None,,None,Multicolor,,,A++,,,,2021,1-Way,,Clear Connect,,,,,,,,,,,,,None,,,,,,,,,Amazon Alexa,,,,,,,,,,,,,,,,,Less Than 5 A,,,,,,,,,,,,,,,,,,,,,,,,,,R-11,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110v Ceramic Electric Heater AC DC Insulated PTC Air Conditioner Aluminum Tube,,Free shipping and returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",2938761409,,"Aluminum, Ceramic",Electric,Electric Heater Parts,Auto Shut-off,2938761429,"Desk/Tabletop, Wall",1,250W,Unbranded,"App Control, Digital",,,Forced Air/Fan,110 V,3.54483E+11,Strip,China,No,6 in,See picture,,1 gal or Less (5 L),None,See picture,11-20 dB,See picture,Less Than 2000 BTU,Other: See Item Description,PTC Thermistor,A+++ - D,1,,See picture,Multicolor,,,A++,,,,2021,None,,"Clear Connect, Infrared",,,,,,,,,,,,,None,,,,,,,,,None,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,140*32*26mm,Insulated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
