Title,Price,Sold,Reviews,Condition,Model,Colour,Material,Power Source,Type,Features,MPN,Mounting Location,Number of Heat Settings,Power,Brand,Control Style,Heating Technology,Power (W),Heating System,Voltage,UPC,Heating Element Format,Country/Region of Manufacture,Custom Bundle,Item Depth,Item Width,Energy Efficiency Rating,Tank Capacity,Cable Length,Energy Efficiency Ratio (EER),Operating Sound Rating,Item Length,BTU Heating Rating,Manufacturer Warranty,Heating Element Material,EC Range,Annual Fuel Utilization Efficiency (AFUE),EAN,Area Covered,Color,Location,ISBN,Energy Star,Manufacturer,Manufacturer Part Number,Package Contents,Year Manufactured,Air Direction,Room,Smart Home Protocol,Level of noise,Supply supply,Depth,Area,Finish,Levels of power,Power maximum,Source of supply,Background,Capacity cooling,No. programs,Height,Timer Control,Style,Heater Style,Unit Quantity,Design,Actual Color,Power Type,Recommended Location,Non-Domestic Product,Smart Home Compatibility,Dimensions,OE/OEM Part Number,Universal Fitment,Performance Part,Placement on Vehicle,Weight,Size,Power supply,Product Name,Temperature,Application,Cover material,Lead wire,Perfermance 1,Perfermance 2,Number of Cool Speeds,Current Rating,Compressor Type,Use,Certification,Electric Heater Type,Heating Element,Installation,Origin,Heating Wire Material,Time Setting,Applicable Area,PLUG,ProductType,Prop65_fl,Item Height,Item Weight,Prop65Warning,Heating Wattage,Manufacturer Color,GTIN,The size of a single outer box,Uses,Country of Origin,Country Of Origin,Ceramic L Block 2 Wire,Unit Type,Refrigerant,Product Type,Product size,Operation Method,Bundle Listing,Technology,Wind Type,Usage,Controlling Mode,Fan Speed,Rotation Way,Air Supply Mode,Tonnage,MYNICODE,Recommended Environment,Temperature Tolerance,Wire Length,Applications 2,Applications 3,Function 1,Function 2,Connectivity,Shipping Weight,Dimension(L*W*H),Insulation,Item model number,Part Number,Batteries Required?,Item Package Quantity,Product Dimensions,Warranty Description,Batteries Included?,Number Of Pieces,Is Discontinued By Manufacturer,Included Components,Region Code,Modified Item,Assembled Product Weight,manufacturer_part_number,Assembled Product Dimensions (L x W x H),Cosmetic Condition,Package Condition,Functionality Check I,Functionality Check II,Product Size,Plug Type,Programmable Timer,Air Volume,Idle Speed of Fan,Frequency,Heater Type,Advantage,Range,Normal temperature resistance,Shipping,Tracking,Handling time,Customer Service,Wattage,Model Number,Number Of Speed Settings,Area Heated,Voltage (v),Function,Item Name,Heater,Plugs,Control,Suitable For,Winter Hand Warmer,Air Blower,Heater For Home,Winter Warm Items,Wall Heater,Heater Electrics,Mini Warmer,Fan Heater,Home Heater,Warm Air Mcahine,Christmas Gift,Ceramic Heating Element,TAX or VAT,Corrugation Length,Heating material,Mounting & Moving,Country of Manufacture
Mr Heater F299201 Vent Free Blower Fan 20K 30K 2016 And Fwd,29.95, ,"['I bought this with the false expectation that it would blow heat straight out. It does not blow it anywhere. called **.****** and they told me I am right, but it is supposed to keep the heat lower in the room. there is absolutely no difference. I also paid 30 some dollars for it on ****, when it is for sale everywhere else for $20 (Mr. heater brand).Shame on me! you can buy other heaters that blow heat straight out, I guess I just bought the name brand.', ""Keep expectations of a 3 to 4 inch plastic fan in check. And you will be happy with your purchase. Does not move much air. But the install was easy. And it's better than no fan. Install took 15 min. Remove metal plate on Mr.Heater install the fan. Attach thermostat wires inside unit. Screw in the 4 bolts that hold unit in place. Done. You got a fan in your Mr Heater Unit. I'm my opinion unit should be sold with fan installed. But they get an extra 30 bucks or so out of you by doing it this way. Overall I'm pleased though. The Heater works great along with Fan. I'd recommend it.  Heats the 800 square feet up quite well. Even on the lowest setting. No vent is nice. And no fumes. Clean burning. Excellent Very Happy. Thanks!"", ""Works very well on auto.  its not going to circulate the air in your garage, I have a small box fan 8ft above the heater blowing down across the garage for that.  I also shimmed my heater out 4in from the wall or the fan wouldn't be able to get air to blow any out.  It made a big difference"", 'It’s better than having the heater without the fan it does move some air but not a lot. The automatic function does not work on it with the heater for some reason, incompatibility or something? At full retail price it’s not a very good value. Don’t stand too close to the heater see photo.', 'Blower is a little loud but bearable but the biggest problem is this model will not work on auto feature in wall heaters made before 2015 so if you have an older stove the auto feature will not work because it does not have the thermostat built in the fan', 'Works as good as can be expected for its size. Helps distribute the heat but not with great force', 'Fan is quite and smooth but does not move much air.', 'The Mr. Heater is Great. I have it in a large room in my shed. It kicks on and off by thermostat.  The Fan is a wonderful Addition. Easy to Install,  and it also kicks on and off by thermostat.  Highly recommend it. ', ""It was an easy install but the switch has a position for auto and on and haven't got the auto mode working on it."", 'The fan is not very powerful I find a regular fan placed behind the unit blowing down just as effective but does take more space.']","Seller refurbished: The item has been restored to working order by the eBay seller or a third party. This means the item was inspected, cleaned, and repaired to full working order and is in excellent condition. This item may or may not be in original packaging. See seller’s listing for full details. ",F299201,,Steel,"Electric, Propane",,,F299201,Portable,1,,Mr. Heater,Switch,,,Convection,,89301001183,,,,,15cm,,,,,,,20k-30k,,,,,,,Beige,,,,,,,2016,,,,,,,,,,,,,,,,24hr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW MR HEATER F299201 20K AND 30K GAS HEATER BLOWER FAN KIT 3311842,26.95,243 sold,"['I bought this with the false expectation that it would blow heat straight out. It does not blow it anywhere. called **.****** and they told me I am right, but it is supposed to keep the heat lower in the room. there is absolutely no difference. I also paid 30 some dollars for it on ****, when it is for sale everywhere else for $20 (Mr. heater brand).Shame on me! you can buy other heaters that blow heat straight out, I guess I just bought the name brand.', ""Keep expectations of a 3 to 4 inch plastic fan in check. And you will be happy with your purchase. Does not move much air. But the install was easy. And it's better than no fan. Install took 15 min. Remove metal plate on Mr.Heater install the fan. Attach thermostat wires inside unit. Screw in the 4 bolts that hold unit in place. Done. You got a fan in your Mr Heater Unit. I'm my opinion unit should be sold with fan installed. But they get an extra 30 bucks or so out of you by doing it this way. Overall I'm pleased though. The Heater works great along with Fan. I'd recommend it.  Heats the 800 square feet up quite well. Even on the lowest setting. No vent is nice. And no fumes. Clean burning. Excellent Very Happy. Thanks!"", ""Works very well on auto.  its not going to circulate the air in your garage, I have a small box fan 8ft above the heater blowing down across the garage for that.  I also shimmed my heater out 4in from the wall or the fan wouldn't be able to get air to blow any out.  It made a big difference"", 'It’s better than having the heater without the fan it does move some air but not a lot. The automatic function does not work on it with the heater for some reason, incompatibility or something? At full retail price it’s not a very good value. Don’t stand too close to the heater see photo.', 'Blower is a little loud but bearable but the biggest problem is this model will not work on auto feature in wall heaters made before 2015 so if you have an older stove the auto feature will not work because it does not have the thermostat built in the fan', 'Works as good as can be expected for its size. Helps distribute the heat but not with great force', 'Fan is quite and smooth but does not move much air.', 'The Mr. Heater is Great. I have it in a large room in my shed. It kicks on and off by thermostat.  The Fan is a wonderful Addition. Easy to Install,  and it also kicks on and off by thermostat.  Highly recommend it. ', ""It was an easy install but the switch has a position for auto and on and haven't got the auto mode working on it."", 'The fan is not very powerful I find a regular fan placed behind the unit blowing down just as effective but does take more space.']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",F299201,,Steel,"Electric, Propane",,,F299201,Portable,1,,Mr. Heater,Switch,,,Convection,,89301001183,,,,,15cm,,,,,,,20k-30k,,,,,,,Beige,,,,,,,2016,,,,,,,,,,,,,,,,24hr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CORONA 23-DK Kerosene Heater Bottom Drip Tray Base # 130-22 ""ORIGINAL"" -- NEW!  ",28.99,6 watchers,"[""Great heat!!! I use this all year round. I have just under 17000 sf and my oil bill was $30,000 one year. Forget that . Now I use paraffin and get almost 100% of every drop of oil that burns and I stay just as warm. I have a lot of heat loss because my house was built in 1947 and has a slate roof. The house has to breath and I love my old windows and the fresh air from the county So I don't smell anything nor does the carbon dioxide set of any alarms. If your live in an older home and have a similar environment to heat. This is one of the best type of designs for a kero heater to buy."", 'low settings will give off fumes (kero smell), used at a higher setting gives no oder. I get it hot, then sgut it down. hopefully it will last longer then my last one this winter.', 'I would have given it a better rating if the wick was 100% in tacked.I have not installed it yet. I am not sure if it makes a difference on how the strings where broke on a section of the wick. as per picture i sent.This is how i received the item.', 'love it ,works great, recieved fast', 'Kero heater never work since 6 year, n I fun to ordered wick n see if it work before u buy brand new $$ if u cant afford, I repair wick, make sure wick work turn up n down n put back together part then lite it work wonder, I still used since couple week it still good wick wonder job..  Many thank you saving us buy brand new more $$', ""So far, this replacement wick for a 12 year old kerosene heater is working nicely. It was hard to install, but that's because I don't comprehend directions as well as others. I did get it installed just had to fight a bit.It works just fine and I will get another one from this shop. I received it in good shape and quickly after I ordered it."", 'Upon lighting there is no kerosene smell.', 'This wick works great. You should buy one.', 'Awesome wick']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",23 DK,,,"K-1 KEROSENE, Kerosene",Portable Heater Drip Tray,,130-22,,,,CORONA,,,,,,Does not apply,,Japan,,"18""","18""",,,,,,,,,,,,,,Beige,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bottom Drip Tray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Japan
"Lot of 2 Ceramic Heater Insert Brick 8"" Dearborn X 900-5-2  ",30,30-day returns, ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",X 900-5-2,,Ceramic,"Gas, Natural Gas",Portable Heater,,,Floor,,,Dearborn,,,,,,,,,,"3""","2""",,,,,,"8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTC Heater Plate 12V-220V Constant Temperature Element Thermostat Heating Tablet,3.49,60-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",PTC Heater Plate,Silver,Aluminium,--,PTC Heater Plate,PTC Heater Plate,Does Not Apply,---,1,----,Unbranded,----,,,---,---,,Strip,,,N/A,20mm,A+++,N/A,,---,N/A,50mm,N/A,,Aluminium ( 铝 ),,///,,N/A,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr. Heater F210359 Thermostat for HeaterTanSmall,, ,"[' I am able to keep my garage at a lower temperature , but still above freezing. With this thermostat i can maintain a 40 degree temp. ,this allows me to save considerably on my propane.', 'Direct replacement easy install and works great in my garage', 'Not to accrete on setting but works good.', 'Easy, quick installation, reasonable price', 'Best and very simple to use garage heater thermostat ', 'does not hold consistent temp.', 'Very cheaply made. works if you fiddle with it']","Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",F210359,,"Aluminum, Plastic","Electric, Gas, Propane, Natural Gas",Thermostat,"Automatic Changeover, Wall-Mounted, Thermostat, Cooling, Heating, Wall Mountable, Thermostat,Wall Mountable, Programmable",F210359,"Garage, Wall",1,,Mr. Heater,"Mechanical, Analog/Mechanical",,,Infrared,24 V,,,,,1,3.25in.,,,2-Wire,9,Temperature,,N/a,,,,N/a,,,White,,,,,,,2018,,,"Infrared, Bluetooth/Bluetooth Low Energy (BLE)",,,,,,,,,,,,,Square,,,,,,,,,ADT Pulse,,,,,,,Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr. Heater Liquid Propane Hose Assembly for Buddy Portable Heaters,27.99,8 watchers,"[""I bought two propane hoses 3 years ago, this one and one like it from the sports dept at Walmart.  After two years, the Walmart hose split at the male connector end and began leaking propane and it was really stiff, especially in cold weather.  This hose by Mr. Heater is still flexible and doesn't leak after 3 years use.  I use this hose to connect from my 20 lb tank to a propane torch nozzle.  I just bought another Mr. Heater hose to replace the Walmart hose. "", ""This enables you to run your Mr.Heater heater/burner on refillable 5 gal. propane bottles. I'm going to use this for the next time my power is out in winter. Last winter brought a once in 25 years snow storm that took power out for five days. It was so heavy I was snowed in for nearly two weeks!"", ""Was looking for parts to make this item because I didn't know they manufactured this. Then this hose showed up as a premade item.  SWEET!TY"", 'works well with my portable buddy heater. beats using all my one pound bottles while at home. have a 11 and a 5 lb tank i use.', 'It works now, but hope it doesn\'t quit; (Like two others have before) The valve quits, inside the hose. I must buy expensive replacement hoses.(Thar\'s a reason the gas is called; pro-""Pane"")', 'Just what i needed to hook up to a 20 lb cylinder.  Works great used it all gun season.', 'Used it to go from my Heater to a large propane tank. Way better than using the little green propane tanks.', 'I can pay $.70 a Lb. for propane using this hose assembly verses $2.75 for 1 Lb. propane bottles.', 'This hose was a perfect fit. I am very pleased with my purchase.', 'This hose is of best quality, with fitting made for this stove and 20lb tank.']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",F273701,,Brass,Propane,Hose,,F273701,,1,,Mr. Heater,,,,Radiant,12 V,89301737013,Coil,,,60 in,3.6 in,,,,,None,72 in,,,,,,89301737013,,Black,,,,,,,2018,,,Thread,,,,,,,,,,,,,15 Minutes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TaoTronics TT-HE008 1500W 24"" Oscillating Portable Space Heater w/Remote Control",30, , ,,TT-HE008,,Ceramic,"Electric, Fan",Portable Heater,"Auto Shut-off, Oscillation",Does Not Apply,Floor,,1500 W,TaoTronics,"Digital, Remote Control",,,Radiant,120 V,Does not apply,,,,,30 in,,,,,,,,,,,,,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lasko 30 in - 1,500 Watt Electric Portable Ceramic Heater with Remote CT30750",30, , ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",Lasko CT30750,,Ceramic,Electric,Tower Heater,Timer,CT30750,Floor,,1001-1500 W,Lasko,"Digital, Touch",,,,,,,,,,30 in,,,,,,,,,,,,,,Black,,,,,,,,,,,,,,,,,,,,,,,8 hrs,,,,,,,,,,,,,,,,,,,,,,,,,,,Remote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasko MyHeat Personal Ceramic Heater Model 100 - 200 Watts,29.95,30-day returns,"['I bought this unit to build a yogurt maker.  My unit consumed 190 watts on a kill-a-watt meter.  This was much more heat than I needed.  I opened up the unit to see what I could change.  The internal connections are soldered.  I was quite surprised.  The heating element is center tap so it functions as two parallel heaters.  I cut a wire so I only use half the heater and it works very well.  It is a little over 100 watts now.   This could be used to make a dehydrator also.  I bought a $10 digital temperature to control this.  Yes I am an engineer but this project was easily within the capabilities of handy people.  Before messing with it the heater was surprisingly effective as a desk top heater or something like that to keep your hands warm.  Bear in mind the heat output is like that of two 100 watt incandescent light bulbs.  It has no tilt sensor so works in any attitude but does have an effective thermal switch that shuts it off.  ', 'Very simple little heater a bit taller then a coffie mug, the vent big as a baseball.  No adjustments, just an on/off switch puts out heat of around 150°F at 3"" away, 115° at 6"", 90° at 1 foot, 80° at 2 feet, which is great in  a small area, or spacific body parts (feet, face, hands or core) in a large area without worry of tripping breakers.  Just used my little cen-tech temperature gunto take the measurements.', 'I use this to heat my dog house.  I live in Iowa and so winter nights can be quite cold 5-6 months per year.  This is the 2nd one.  The first lasted 4 years.  Its very reliable.  I mount it on the outside of the dog house and direct the heat through a vent to the inside.  It works very well in the tough conditions I use it.   It puts out just the right amount of heat to heat the dog house without getting the inside to warm for the dog.  On cold nights my dog only comes out to eat, drink, and potty.  Then back in he goes.  As you can see my dog is spoiled. ', 'I just got this today and I already love it. At first I thought it was going to be a heater that filled a small room with heat but it does not, instead after some adjustment I have this tiny heater blowing on me while I sit at my computer desk to warm me up!.So really it should be blowing on you to get the ""Personal"" benefit out of it. would I recommend it? Defiantly yes! Especially for those cold days in cold rooms this Personal heater does make a difference!', 'Love this thing! It was just what I was looking for. Puts out great heat right where I need it. I keep it near for my chilly feet. Great quality and low cost to operate. The casing stays cool when operating too. Always use any heat device responsibly.I am so glad I made this purchase.', 'The Lasko 100 heater has worked very well since purchasing a month ago. I use it in a cool basement where I have my office and it has helped keep my feet and hands nice and toasty while on the computer. It also helps keep some of my tropical houseplants at a constant warmer temperature along with a plant light I am also using. It puts out a fair amount of heat and is surprisingly quiet. It has only two settings, off and on but that suits my needs very well. It never gets overly hot to the touch and is not top heavy so I do not worry about it tipping over. A bonus is that the little unit looks pretty good too and does not take up much space if that is a concern.', 'I have an office with limited power available.  A normal heater would blow the circuit breaker.  So, I needed a low power heater.  This is it.  It consumes 200 watts and the circuit breaker does not blow.  No it does not put out as much heat as the other heaters.  It consumes less energy and puts out less heat.  But, that was what I needed.  it was either this heater or nothing.  Keeps my feet warm.', 'this little heater did a great job, i bought it for my rv and it warmed it up in no time....not for winter use, but a great spring/fall supplement heater for those times you just want to take the dampness and chill out.', 'My office building does not allow space heaters that put out over 200 watts.  My office is cold, so I bought this small heater out of desperation.  It does not heat the office, but it definitely help me to stay warm when it is at my feet or on top of my desk while I am working.Grant G, Spokane Washington', 'i bought the heater for myself a month or so ago needing extra heat at night time. i was in a motorcycle accident and was paralyzed in 09 and im on blood thinners which in the winter you freexe. i put it on the table next to bed and i couldnt believe how much heat comes from this heater. anyways as far as the quality its great. the simple on off with no adjustment is perfect. if it gets too warm simply move it away a couple inches and vise versa. i think its a super nice heater for the price i highly recommend it. office, desktop, table top, night stand etc.... great little heater A1 in my book. brian']",,Lasko MyHeat 100,,"Ceramic,Plastic, Ceramic, Plastic",Electric,"Unit Heater, Electric Portable Heater, Ceramic","Thermostat,Mini,Handle,Nonslip BASE, Handle, Indoor, Cool-Touch Exterior, Portable, Automatic Shut-OFF!,Cool-Touch Exterior,Overheat Protection,Power Indicator, Portable,Remote Control,Cool-Touch Exterior,Overheat Protection, Power Indicator, Automatic Shut-OFF!, Cool-Touch Exterior,Overheat Protection,Portable,Remote Control, Heating, Energy Efficient, Mini, Remote Control, Overheat Protection, Heater, Cool-Touch Exterior,Portable",100,"Desk/Tabletop, Portable",1,200,Lasko,"Switch, Push Button, Switch,Touch, Touch",,,Convection,120 V,46013764409,,,,,4.3 in,,Not Applicable,,,None,,Less Than 2000 BTU,,Ceramic,,Not Applicable,,Under 150 sq ft,"lemon yellow, Green,Black, Black, Green, Off White",,,,,,,,,,Ceramic,,,,,,,,,,,,,24 Hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 Pack Handy Heater Personal Space Heater 350 Watts ,29.99, ,"['I purchased this heater for a very specific purpose. I needed a small heater to dry out a wood window sill for a window located in a bathroom shower (long story). This heater satisfied all of my requirements which included: small enough to fit in the space between the storm window and double hung window, generate enough heat to dry the space without over heating, have a thermostat, and operate continuously for a prolonged period of time. I have not had any problems operating this unit on a heavy duty extension cord (not recommended in instructions). This unit will automatically turn on and off as it reaches the temperature you set for the unit. It produces just enough heat to satisfy my need. Criticisms regarding the 12 hour time limit can be resolved by plugging this unit into a timer. When the power is shut off and then back on, the unit will run again for 12 hours intervals solving the problem of having to be present to restart the unit. This unit must be suspended to prevent blockage of the air intake located on the bottom of the heater.', ""Quality feels good, not cheap. Plug rotation feature is secure and not wobbly or junky at all. Heater pulls 297 watts when running, but pulls ~750 watts for about 30 seconds when you turn it on from cold. This is a powerful little heater, you would not want to put your hand directly in front of it for very long. Definitely enough to heat a very small space like a car, or heat up a small room which isn't quite warm enough. Has a thermostat which works well. The heater will run the fan for a bit and cycle down just as it should. It has a red LED which always stays on and give the impression of a hot surface so that you don't forget that the grill could still be hot.The heater sucks air in from the bottom where the fan is.Honestly, this thing has better construction and features than most space heaters I've owned.Cannot yet speak to reliability but based on the good circuit design it should last quite a long time."", 'We have an L shaped bath room and the  baseboard heater is on the long side. On cold days the far corner of the short side gets cold.  This gadget is perfect, set temperature and  shave in comfort. easy to use, takes no space. I saved about  $1200 by not adding another baseboard floor heater when  a $12 heater is perfect.  Kudos to the designer for a great product !!Ol George', 'I wanted this for a very small seedling starter greenhouse but will be unable to use it as it shuts off after 12 hours.  Also when you turn it back on it starts at 90 degrees.  You have to reset the temp and timer every time you turn it back on.  I also bought one for my daughter to use in her tack room for two barn cats but she is also disappointed because of the 12 hour turn off feature.  Only useful if you are there to turn it back on and reset every 12 hours.', 'While this thinks key feature is size, It works well.  Unfortunately the the other plug in a two receptacle outlet cannot be used while this is plugged in.  It blocks the free receptacle partially enough to render it non-usable. It does produce some small fast heat to a rathed general localized area. Is it worth $20.00?  Yes if you will use often, no if you dont require the convenience of it.  Cheaper and more effective heaters are available, its really based on the buyers preference and intended use.  Works great for heating up bathroom when done with showering.  I would reccomend this if you find yourself seeing it  be applicable in a scenario.  ', 'This is a great heater for a small area.I plan on using it for a walk in closet that seems to not get heated very well.I can turn this little guy on for five minutes or so and the problem is solved', 'Better than i expected because the plug works both ways into the outlet, this is good 4 me cause all my outlets are upside down &amp; heater has timer , &amp; low &amp; high..  compact &amp; small, low price i really thinks thats great.  Thx.', 'I love the fact that these heaters have a ground connection.  The third pole helps stabilize the heater in the socket and keeps it from leaning and possibly falling out, like the socket heaters with only two poles.  They are great for a small room like a bathroom. ', ""It is very small but it put out some nice heat for it's size.  I like the thermostat feature so it goes off when it gets to that temperature.  "", 'I’ve given 5 of these as gifts. They are perfect for a bathroom or office or reading area. They are powerful but only heat a small area. Buy using it in the morning by my chair while I read the paper or file paperwork I do not have to turn up my furnace. I can pre heat a bathroom when it’s below zero outside and avoid freezing the second I step out of the shower!Not intended to warm large rooms. ']","Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",Handy Heater HEAT-MC12/4,,Plastic,Electric,Ceramic,Indoor,HEAT-MC12/4,"Garage, Wall, Wall,Garage, Compact",1,350W,Handy Heater,"Digital,Touch,Switch, Switch, Push Button, Digital, Touch",,,Radiant,120V AC 60Hz,6.09787E+11,,,,,4x6x3 in,,,,,Low,,,,,,,,"250 Sq. Ft, 250sq ft",Black,,,,,,,2018,,,Fan,,,,,,,,,,,,,12hr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
